rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
4481.699999988079,{worker_id:63fcfd81a075a45d1a821308},id_enter,4488,object_03b.png; object_04b.png; object_09b.png; object_12c.png; object_15c.png; object_15a.png; object_10c.png; object_11b.png; object_05b.png; object_01b.png; object_08a.png; object_08b.png; object_05a.png; object_09c.png; object_15b.png,object_01c.png; object_07b.png; object_02a.png; object_07c.png; object_01a.png; object_14c.png; object_06b.png; object_03c.png; object_12b.png; object_11c.png; object_02c.png; object_04c.png; object_05c.png; object_02b.png; object_14b.png,object_10b.png; object_13c.png; object_13b.png; object_12a.png; object_04a.png; object_09a.png; object_06c.png; object_10a.png; object_14a.png; object_13a.png; object_08c.png; object_06a.png; object_11a.png; object_03a.png; object_07a.png,,,,,,,,,,,,,,,,,,,,,,,,,,
2614.9000000059605,,make_fullscreen,7112,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
1704.5,,instruct_1,8823,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
2106.5999999940395,,instruct_2,10932,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
3741.7000000178814,,instruct_3,14674,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4716.199999988079,,instruct_4,19392,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
8210.40000000596,,instruct_5,27607,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4067,,instruct_6,31675,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
5317.9000000059605,,instruct_7,36994,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,37882,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,38401,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
66.40000000596046,,prac_atten_color_black,40403,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,41291,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
490.2000000178814,,prac_atten_color,42318,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,44321,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,44698,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
427.10000002384186,,prac_atten_color,45305,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,47307,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,48104,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
417.30000001192093,,prac_atten_color,48614,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,50616,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,51510,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
525.8000000119209,,prac_atten_color,52452,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,54455,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,54918,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
627.3000000119209,,prac_atten_color,55615,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
