rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
8747.899999976158,{worker_id:651c2cc23704dc10500ae77c},id_enter,8752,object_09b.png; object_05a.png; object_07a.png; object_14a.png; object_01c.png; object_05b.png; object_01b.png; object_01a.png; object_09c.png; object_15b.png; object_15c.png; object_06c.png; object_10b.png; object_14b.png; object_12c.png,object_15a.png; object_02a.png; object_03b.png; object_08c.png; object_03c.png; object_04b.png; object_02b.png; object_06b.png; object_07b.png; object_13a.png; object_04a.png; object_08b.png; object_04c.png; object_06a.png; object_11c.png,object_02c.png; object_10c.png; object_13c.png; object_14c.png; object_11a.png; object_13b.png; object_09a.png; object_12a.png; object_12b.png; object_03a.png; object_10a.png; object_11b.png; object_07c.png; object_08a.png; object_05c.png,,,,,,,,,,,,,,,,,,,,,,,,,,
20477.09999999404,,make_fullscreen,29231,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
5957.199999988079,,instruct_1,35191,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
18125.80000001192,,instruct_2,53318,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
8449,,instruct_3,61769,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
24873.20000001788,,instruct_4,86643,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
12010.300000011921,,instruct_5,98655,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4601.5,,instruct_6,103257,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
38288.59999999404,,instruct_7,141548,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,141921,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
881.8000000119209,,prac_atten_color,142955,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,144957,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,145331,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,145954,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
166.40000000596046,,prac_atten_color_black,147957,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,148740,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
746.2999999821186,,prac_atten_color,149597,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,151599,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,152153,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
340.30000001192093,,prac_atten_color,153197,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155199,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,155562,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
469,,prac_atten_color,156541,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,158544,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
