triadNr,isCorrect,RT,trialtype,testtype,partid,age
4,0,2367.6,test1,block,62d0880f5ba6d972d1bfc63c,old
0,1,2510.5,test1,block,62d0880f5ba6d972d1bfc63c,old
12,0,2463.1,test1,block,62d0880f5ba6d972d1bfc63c,old
8,1,2542.8,test1,block,62d0880f5ba6d972d1bfc63c,old
2,0,3646.4,test1,block,62d0880f5ba6d972d1bfc63c,old
6,0,2670.9,test1,block,62d0880f5ba6d972d1bfc63c,old
13,0,3214.2,test1,block,62d0880f5ba6d972d1bfc63c,old
3,0,3535.5,test1,block,62d0880f5ba6d972d1bfc63c,old
14,0,2478.6,test1,block,62d0880f5ba6d972d1bfc63c,old
9,0,3327.4,test1,block,62d0880f5ba6d972d1bfc63c,old
10,0,4398.9,test1,block,62d0880f5ba6d972d1bfc63c,old
7,0,3935.1,test1,block,62d0880f5ba6d972d1bfc63c,old
1,1,3870.7,test1,block,62d0880f5ba6d972d1bfc63c,old
5,0,4319.0,test1,block,62d0880f5ba6d972d1bfc63c,old
11,0,3934.9,test1,block,62d0880f5ba6d972d1bfc63c,old
11,0,3742.6,test2,block,62d0880f5ba6d972d1bfc63c,old
7,1,3327.6,test2,block,62d0880f5ba6d972d1bfc63c,old
2,0,4111.1,test2,block,62d0880f5ba6d972d1bfc63c,old
12,0,3054.8,test2,block,62d0880f5ba6d972d1bfc63c,old
6,1,3646.7,test2,block,62d0880f5ba6d972d1bfc63c,old
4,0,3087.2,test2,block,62d0880f5ba6d972d1bfc63c,old
5,0,4174.6,test2,block,62d0880f5ba6d972d1bfc63c,old
14,1,3983.0,test2,block,62d0880f5ba6d972d1bfc63c,old
0,0,2494.9,test2,block,62d0880f5ba6d972d1bfc63c,old
10,0,3102.3,test2,block,62d0880f5ba6d972d1bfc63c,old
8,0,2895.3,test2,block,62d0880f5ba6d972d1bfc63c,old
3,1,2974.4,test2,block,62d0880f5ba6d972d1bfc63c,old
9,1,2174.1,test2,block,62d0880f5ba6d972d1bfc63c,old
1,1,1519.0,test2,block,62d0880f5ba6d972d1bfc63c,old
13,1,2414.2,test2,block,62d0880f5ba6d972d1bfc63c,old
9,1,3855.6,test3,block,62d0880f5ba6d972d1bfc63c,old
2,0,2254.6,test3,block,62d0880f5ba6d972d1bfc63c,old
13,0,2302.6,test3,block,62d0880f5ba6d972d1bfc63c,old
14,1,4030.1,test3,block,62d0880f5ba6d972d1bfc63c,old
5,0,3919.4,test3,block,62d0880f5ba6d972d1bfc63c,old
11,1,2943.1,test3,block,62d0880f5ba6d972d1bfc63c,old
1,1,2222.7,test3,block,62d0880f5ba6d972d1bfc63c,old
3,1,3134.3,test3,block,62d0880f5ba6d972d1bfc63c,old
10,1,3358.2,test3,block,62d0880f5ba6d972d1bfc63c,old
8,1,3342.5,test3,block,62d0880f5ba6d972d1bfc63c,old
4,0,2719.0,test3,block,62d0880f5ba6d972d1bfc63c,old
0,1,3519.1,test3,block,62d0880f5ba6d972d1bfc63c,old
12,0,3087.0,test3,block,62d0880f5ba6d972d1bfc63c,old
7,0,3133.7,test3,block,62d0880f5ba6d972d1bfc63c,old
6,1,1918.9,test3,block,62d0880f5ba6d972d1bfc63c,old
10,1,2176.3,test4,block,62d0880f5ba6d972d1bfc63c,old
4,0,4029.7,test4,block,62d0880f5ba6d972d1bfc63c,old
1,1,1774.7,test4,block,62d0880f5ba6d972d1bfc63c,old
12,1,2559.0,test4,block,62d0880f5ba6d972d1bfc63c,old
13,0,1839.0,test4,block,62d0880f5ba6d972d1bfc63c,old
9,1,2511.5,test4,block,62d0880f5ba6d972d1bfc63c,old
14,1,2046.0,test4,block,62d0880f5ba6d972d1bfc63c,old
5,1,2655.8,test4,block,62d0880f5ba6d972d1bfc63c,old
0,1,2095.0,test4,block,62d0880f5ba6d972d1bfc63c,old
3,0,3262.0,test4,block,62d0880f5ba6d972d1bfc63c,old
7,1,2863.2,test4,block,62d0880f5ba6d972d1bfc63c,old
2,0,2862.1,test4,block,62d0880f5ba6d972d1bfc63c,old
8,0,2863.2,test4,block,62d0880f5ba6d972d1bfc63c,old
11,1,2591.0,test4,block,62d0880f5ba6d972d1bfc63c,old
6,1,1550.4,test4,block,62d0880f5ba6d972d1bfc63c,old
3,1,2303.6,test5,block,62d0880f5ba6d972d1bfc63c,old
9,0,2654.4,test5,block,62d0880f5ba6d972d1bfc63c,old
7,0,2782.6,test5,block,62d0880f5ba6d972d1bfc63c,old
11,1,2942.7,test5,block,62d0880f5ba6d972d1bfc63c,old
8,0,3134.8,test5,block,62d0880f5ba6d972d1bfc63c,old
2,1,2942.2,test5,block,62d0880f5ba6d972d1bfc63c,old
1,0,2734.9,test5,block,62d0880f5ba6d972d1bfc63c,old
