triadNr,isCorrect,RT,trialtype,testtype,partid,age
7,1,5688.4000000003725,test1,inter,660c545be4abf55a6634293e,old
13,0,12375.0,test1,inter,660c545be4abf55a6634293e,old
7,1,6662.0,test1,inter,660c545be4abf55a6634293e,old
11,1,6657.300000000745,test1,inter,660c545be4abf55a6634293e,old
3,0,5274.5,test1,inter,660c545be4abf55a6634293e,old
1,1,5061.299999998882,test1,inter,660c545be4abf55a6634293e,old
2,1,2499.4000000003725,test1,inter,660c545be4abf55a6634293e,old
0,0,5597.799999998882,test1,inter,660c545be4abf55a6634293e,old
0,1,5345.700000001118,test1,inter,660c545be4abf55a6634293e,old
6,0,7637.0,test1,inter,660c545be4abf55a6634293e,old
12,0,6540.5999999996275,test1,inter,660c545be4abf55a6634293e,old
1,0,4133.9000000003725,test1,inter,660c545be4abf55a6634293e,old
13,1,3683.0,test1,inter,660c545be4abf55a6634293e,old
8,1,6931.9000000003725,test1,inter,660c545be4abf55a6634293e,old
9,1,4693.0,test1,inter,660c545be4abf55a6634293e,old
4,1,12301.700000001118,test1,inter,660c545be4abf55a6634293e,old
8,1,2699.5999999996275,test1,inter,660c545be4abf55a6634293e,old
4,0,5548.699999999255,test1,inter,660c545be4abf55a6634293e,old
9,0,7505.300000000745,test1,inter,660c545be4abf55a6634293e,old
3,1,6682.5,test1,inter,660c545be4abf55a6634293e,old
5,1,3736.599999999627,test1,inter,660c545be4abf55a6634293e,old
5,1,5344.699999999255,test1,inter,660c545be4abf55a6634293e,old
2,0,4614.10000000149,test1,inter,660c545be4abf55a6634293e,old
10,0,6985.5,test1,inter,660c545be4abf55a6634293e,old
12,1,7522.10000000149,test1,inter,660c545be4abf55a6634293e,old
14,1,2902.5,test1,inter,660c545be4abf55a6634293e,old
6,0,5081.9000000003725,test1,inter,660c545be4abf55a6634293e,old
10,1,2608.7000000011176,test1,inter,660c545be4abf55a6634293e,old
11,0,5388.200000001118,test1,inter,660c545be4abf55a6634293e,old
14,0,8688.200000001118,test1,inter,660c545be4abf55a6634293e,old
3,1,4666.0999999996275,test2,inter,660c545be4abf55a6634293e,old
6,0,7053.0,test2,inter,660c545be4abf55a6634293e,old
2,0,11164.300000000743,test2,inter,660c545be4abf55a6634293e,old
12,1,6155.800000000745,test2,inter,660c545be4abf55a6634293e,old
1,0,5610.299999998882,test2,inter,660c545be4abf55a6634293e,old
12,1,5584.799999998882,test2,inter,660c545be4abf55a6634293e,old
4,1,5311.199999999255,test2,inter,660c545be4abf55a6634293e,old
14,1,1815.199999999255,test2,inter,660c545be4abf55a6634293e,old
7,0,8292.199999999255,test2,inter,660c545be4abf55a6634293e,old
0,1,5513.0999999996275,test2,inter,660c545be4abf55a6634293e,old
10,1,8056.5,test2,inter,660c545be4abf55a6634293e,old
11,1,3091.0,test2,inter,660c545be4abf55a6634293e,old
14,0,4446.5,test2,inter,660c545be4abf55a6634293e,old
10,1,1571.5999999996277,test2,inter,660c545be4abf55a6634293e,old
11,1,8095.0,test2,inter,660c545be4abf55a6634293e,old
5,1,5301.5999999996275,test2,inter,660c545be4abf55a6634293e,old
13,1,6875.0,test2,inter,660c545be4abf55a6634293e,old
8,1,8239.099999999627,test2,inter,660c545be4abf55a6634293e,old
9,1,7290.4000000003725,test2,inter,660c545be4abf55a6634293e,old
1,0,6411.800000000745,test2,inter,660c545be4abf55a6634293e,old
5,1,1949.699999999255,test2,inter,660c545be4abf55a6634293e,old
4,1,1364.0,test2,inter,660c545be4abf55a6634293e,old
9,1,2384.5999999996275,test2,inter,660c545be4abf55a6634293e,old
6,1,4279.700000001118,test2,inter,660c545be4abf55a6634293e,old
0,0,10033.300000000743,test2,inter,660c545be4abf55a6634293e,old
2,1,6496.799999998882,test2,inter,660c545be4abf55a6634293e,old
3,1,5850.0999999996275,test2,inter,660c545be4abf55a6634293e,old
13,1,2997.9000000003725,test2,inter,660c545be4abf55a6634293e,old
7,1,3791.900000000373,test2,inter,660c545be4abf55a6634293e,old
8,1,3461.199999999255,test2,inter,660c545be4abf55a6634293e,old
14,1,2800.800000000745,test3,inter,660c545be4abf55a6634293e,old
12,1,1583.9000000003723,test3,inter,660c545be4abf55a6634293e,old
13,1,2313.2999999988824,test3,inter,660c545be4abf55a6634293e,old
13,1,2160.699999999255,test3,inter,660c545be4abf55a6634293e,old
4,1,1383.9000000003723,test3,inter,660c545be4abf55a6634293e,old
5,1,5922.699999999255,test3,inter,660c545be4abf55a6634293e,old
0,1,2236.5999999996275,test3,inter,660c545be4abf55a6634293e,old
11,1,4130.300000000745,test3,inter,660c545be4abf55a6634293e,old
2,0,4844.299999998882,test3,inter,660c545be4abf55a6634293e,old
3,1,4640.0999999996275,test3,inter,660c545be4abf55a6634293e,old
14,1,5170.5999999996275,test3,inter,660c545be4abf55a6634293e,old
8,1,1531.0999999996277,test3,inter,660c545be4abf55a6634293e,old
7,1,4171.0999999996275,test3,inter,660c545be4abf55a6634293e,old
4,0,5802.0,test3,inter,660c545be4abf55a6634293e,old
8,1,9660.5,test3,inter,660c545be4abf55a6634293e,old
6,1,1251.0999999996277,test3,inter,660c545be4abf55a6634293e,old
10,1,6182.39999999851,test3,inter,660c545be4abf55a6634293e,old
9,1,4609.60000000149,test3,inter,660c545be4abf55a6634293e,old
2,1,4798.5,test3,inter,660c545be4abf55a6634293e,old
6,1,5398.10000000149,test3,inter,660c545be4abf55a6634293e,old
7,1,3067.4000000003725,test3,inter,660c545be4abf55a6634293e,old
1,1,3399.0,test3,inter,660c545be4abf55a6634293e,old
5,1,4396.0999999996275,test3,inter,660c545be4abf55a6634293e,old
9,1,2112.199999999255,test3,inter,660c545be4abf55a6634293e,old
10,1,1808.199999999255,test3,inter,660c545be4abf55a6634293e,old
12,1,1503.9000000003723,test3,inter,660c545be4abf55a6634293e,old
1,0,3411.0,test3,inter,660c545be4abf55a6634293e,old
3,1,2606.699999999255,test3,inter,660c545be4abf55a6634293e,old
11,1,6340.0,test3,inter,660c545be4abf55a6634293e,old
0,1,6710.0999999996275,test3,inter,660c545be4abf55a6634293e,old
