triadNr,isCorrect,RT,trialtype,testtype,partid,age
3,0,,test1,block,67dda883ae02e40c22d3b064,old
10,0,5880.600000008941,test1,block,67dda883ae02e40c22d3b064,old
14,0,5622.5999999940395,test1,block,67dda883ae02e40c22d3b064,old
8,0,5200.0999999940395,test1,block,67dda883ae02e40c22d3b064,old
0,0,6906.20000000298,test1,block,67dda883ae02e40c22d3b064,old
4,0,5130.100000008941,test1,block,67dda883ae02e40c22d3b064,old
13,1,7714.20000000298,test1,block,67dda883ae02e40c22d3b064,old
1,0,6263.0999999940395,test1,block,67dda883ae02e40c22d3b064,old
12,0,5169.600000008941,test1,block,67dda883ae02e40c22d3b064,old
9,1,7680.29999999702,test1,block,67dda883ae02e40c22d3b064,old
7,0,7833.0,test1,block,67dda883ae02e40c22d3b064,old
2,1,3474.800000011921,test1,block,67dda883ae02e40c22d3b064,old
5,1,5923.5,test1,block,67dda883ae02e40c22d3b064,old
6,0,6341.79999999702,test1,block,67dda883ae02e40c22d3b064,old
11,0,6260.5,test1,block,67dda883ae02e40c22d3b064,old
9,1,3721.79999999702,test2,block,67dda883ae02e40c22d3b064,old
7,1,6872.4000000059605,test2,block,67dda883ae02e40c22d3b064,old
13,1,5009.20000000298,test2,block,67dda883ae02e40c22d3b064,old
0,1,4973.70000000298,test2,block,67dda883ae02e40c22d3b064,old
3,1,3266.4000000059605,test2,block,67dda883ae02e40c22d3b064,old
8,1,8765.60000000894,test2,block,67dda883ae02e40c22d3b064,old
2,1,3260.5,test2,block,67dda883ae02e40c22d3b064,old
5,1,2995.20000000298,test2,block,67dda883ae02e40c22d3b064,old
11,1,8669.29999999702,test2,block,67dda883ae02e40c22d3b064,old
1,1,7390.29999999702,test2,block,67dda883ae02e40c22d3b064,old
14,1,3470.20000000298,test2,block,67dda883ae02e40c22d3b064,old
4,1,6157.899999991059,test2,block,67dda883ae02e40c22d3b064,old
10,1,3876.8999999910593,test2,block,67dda883ae02e40c22d3b064,old
6,1,3328.70000000298,test2,block,67dda883ae02e40c22d3b064,old
12,1,7676.199999988079,test2,block,67dda883ae02e40c22d3b064,old
14,1,2504.79999999702,test3,block,67dda883ae02e40c22d3b064,old
13,1,2926.8999999910593,test3,block,67dda883ae02e40c22d3b064,old
2,1,4434.20000000298,test3,block,67dda883ae02e40c22d3b064,old
11,1,6732.699999988079,test3,block,67dda883ae02e40c22d3b064,old
9,1,4234.20000000298,test3,block,67dda883ae02e40c22d3b064,old
6,1,3183.199999988079,test3,block,67dda883ae02e40c22d3b064,old
5,1,4839.79999999702,test3,block,67dda883ae02e40c22d3b064,old
