triadNr,isCorrect,RT,trialtype,testtype,partid,age
5,1,4487.20000000298,test1,block,663a8a591f436a85bb4d90c2,old
11,1,5039.100000008941,test1,block,663a8a591f436a85bb4d90c2,old
12,1,5341.70000000298,test1,block,663a8a591f436a85bb4d90c2,old
7,0,5647.5,test1,block,663a8a591f436a85bb4d90c2,old
0,1,4331.699999988079,test1,block,663a8a591f436a85bb4d90c2,old
1,0,3728.0,test1,block,663a8a591f436a85bb4d90c2,old
8,0,4405.899999991059,test1,block,663a8a591f436a85bb4d90c2,old
4,0,3805.699999988079,test1,block,663a8a591f436a85bb4d90c2,old
2,1,2823.1000000089407,test1,block,663a8a591f436a85bb4d90c2,old
13,0,6086.9000000059605,test1,block,663a8a591f436a85bb4d90c2,old
10,0,4718.29999999702,test1,block,663a8a591f436a85bb4d90c2,old
3,1,4295.5,test1,block,663a8a591f436a85bb4d90c2,old
14,1,3452.0,test1,block,663a8a591f436a85bb4d90c2,old
6,1,2870.5,test1,block,663a8a591f436a85bb4d90c2,old
9,1,5519.699999988079,test1,block,663a8a591f436a85bb4d90c2,old
4,1,6191.0999999940395,test2,block,663a8a591f436a85bb4d90c2,old
7,0,6510.0999999940395,test2,block,663a8a591f436a85bb4d90c2,old
0,1,3973.599999994039,test2,block,663a8a591f436a85bb4d90c2,old
5,1,4054.79999999702,test2,block,663a8a591f436a85bb4d90c2,old
3,1,5238.300000011921,test2,block,663a8a591f436a85bb4d90c2,old
10,1,3573.29999999702,test2,block,663a8a591f436a85bb4d90c2,old
6,1,2710.4000000059605,test2,block,663a8a591f436a85bb4d90c2,old
1,0,3192.3999999910593,test2,block,663a8a591f436a85bb4d90c2,old
12,1,4877.20000000298,test2,block,663a8a591f436a85bb4d90c2,old
13,0,4204.79999999702,test2,block,663a8a591f436a85bb4d90c2,old
11,1,2001.29999999702,test2,block,663a8a591f436a85bb4d90c2,old
14,0,3797.70000000298,test2,block,663a8a591f436a85bb4d90c2,old
9,1,3028.5,test2,block,663a8a591f436a85bb4d90c2,old
8,0,5551.0,test2,block,663a8a591f436a85bb4d90c2,old
2,1,2332.0999999940395,test2,block,663a8a591f436a85bb4d90c2,old
1,0,6237.70000000298,test3,block,663a8a591f436a85bb4d90c2,old
7,0,4719.5999999940395,test3,block,663a8a591f436a85bb4d90c2,old
3,0,6124.70000000298,test3,block,663a8a591f436a85bb4d90c2,old
0,1,2240.29999999702,test3,block,663a8a591f436a85bb4d90c2,old
11,1,1717.9000000059605,test3,block,663a8a591f436a85bb4d90c2,old
8,1,5134.5,test3,block,663a8a591f436a85bb4d90c2,old
