triadNr,isCorrect,RT,trialtype,testtype,partid,age
12,0,,test1,inter,642e880fcd7287e38beba0b5,old
14,0,1744.7999999523165,test1,inter,642e880fcd7287e38beba0b5,old
11,1,1734.9000000953674,test1,inter,642e880fcd7287e38beba0b5,old
5,0,2432.5,test1,inter,642e880fcd7287e38beba0b5,old
7,0,2165.5,test1,inter,642e880fcd7287e38beba0b5,old
2,1,2494.199999809265,test1,inter,642e880fcd7287e38beba0b5,old
6,0,1997.2999999523165,test1,inter,642e880fcd7287e38beba0b5,old
13,1,1973.5,test1,inter,642e880fcd7287e38beba0b5,old
1,0,2227.100000143051,test1,inter,642e880fcd7287e38beba0b5,old
11,0,2293.199999809265,test1,inter,642e880fcd7287e38beba0b5,old
8,0,2169.300000190735,test1,inter,642e880fcd7287e38beba0b5,old
10,0,1710.7999999523165,test1,inter,642e880fcd7287e38beba0b5,old
9,0,1916.7000000476835,test1,inter,642e880fcd7287e38beba0b5,old
7,0,1795.7999999523165,test1,inter,642e880fcd7287e38beba0b5,old
12,0,1677.5999999046326,test1,inter,642e880fcd7287e38beba0b5,old
14,0,2123.100000143051,test1,inter,642e880fcd7287e38beba0b5,old
4,0,2203.7000000476837,test1,inter,642e880fcd7287e38beba0b5,old
0,0,2784.300000190735,test1,inter,642e880fcd7287e38beba0b5,old
9,1,1899.5999999046328,test1,inter,642e880fcd7287e38beba0b5,old
5,1,1813.2000000476835,test1,inter,642e880fcd7287e38beba0b5,old
3,1,1953.7000000476835,test1,inter,642e880fcd7287e38beba0b5,old
10,0,2236.599999904633,test1,inter,642e880fcd7287e38beba0b5,old
1,0,1967.9000000953672,test1,inter,642e880fcd7287e38beba0b5,old
13,0,2391.900000095367,test1,inter,642e880fcd7287e38beba0b5,old
4,1,3062.2000000476837,test1,inter,642e880fcd7287e38beba0b5,old
2,0,1425.1999998092651,test1,inter,642e880fcd7287e38beba0b5,old
3,1,2355.7999999523163,test1,inter,642e880fcd7287e38beba0b5,old
6,1,1892.8999998569489,test1,inter,642e880fcd7287e38beba0b5,old
8,0,1852.6000001430511,test1,inter,642e880fcd7287e38beba0b5,old
0,1,2443.099999904633,test1,inter,642e880fcd7287e38beba0b5,old
9,1,2763.599999904633,test2,inter,642e880fcd7287e38beba0b5,old
14,1,1574.1000001430511,test2,inter,642e880fcd7287e38beba0b5,old
7,1,1668.9000000953674,test2,inter,642e880fcd7287e38beba0b5,old
12,0,1425.2000000476835,test2,inter,642e880fcd7287e38beba0b5,old
6,0,1645.6999998092651,test2,inter,642e880fcd7287e38beba0b5,old
0,0,1918.3999998569489,test2,inter,642e880fcd7287e38beba0b5,old
8,0,1652.0999999046326,test2,inter,642e880fcd7287e38beba0b5,old
4,1,1579.2999999523165,test2,inter,642e880fcd7287e38beba0b5,old
12,0,3259.0,test2,inter,642e880fcd7287e38beba0b5,old
11,1,1947.6999998092651,test2,inter,642e880fcd7287e38beba0b5,old
5,1,2601.0,test2,inter,642e880fcd7287e38beba0b5,old
0,1,2332.399999856949,test2,inter,642e880fcd7287e38beba0b5,old
2,1,2549.100000143051,test2,inter,642e880fcd7287e38beba0b5,old
4,0,2954.099999904633,test2,inter,642e880fcd7287e38beba0b5,old
13,1,1350.7000000476835,test2,inter,642e880fcd7287e38beba0b5,old
3,1,1741.7000000476835,test2,inter,642e880fcd7287e38beba0b5,old
2,0,1438.7000000476835,test2,inter,642e880fcd7287e38beba0b5,old
9,1,1776.2000000476835,test2,inter,642e880fcd7287e38beba0b5,old
8,1,1599.0,test2,inter,642e880fcd7287e38beba0b5,old
7,1,1405.2000000476835,test2,inter,642e880fcd7287e38beba0b5,old
5,0,1891.5,test2,inter,642e880fcd7287e38beba0b5,old
10,1,2474.400000095367,test2,inter,642e880fcd7287e38beba0b5,old
3,0,136.5,test2,inter,642e880fcd7287e38beba0b5,old
1,1,2747.199999809265,test2,inter,642e880fcd7287e38beba0b5,old
13,0,1940.0999999046328,test2,inter,642e880fcd7287e38beba0b5,old
10,1,1538.0,test2,inter,642e880fcd7287e38beba0b5,old
6,1,1675.8999998569489,test2,inter,642e880fcd7287e38beba0b5,old
11,1,1805.0,test2,inter,642e880fcd7287e38beba0b5,old
14,1,2281.0,test2,inter,642e880fcd7287e38beba0b5,old
1,1,1571.6000001430511,test2,inter,642e880fcd7287e38beba0b5,old
11,0,1618.2999999523165,test3,inter,642e880fcd7287e38beba0b5,old
11,1,1110.8999998569489,test3,inter,642e880fcd7287e38beba0b5,old
12,0,1594.1000001430511,test3,inter,642e880fcd7287e38beba0b5,old
7,1,1545.5999999046326,test3,inter,642e880fcd7287e38beba0b5,old
13,1,2995.699999809265,test3,inter,642e880fcd7287e38beba0b5,old
12,1,2654.5,test3,inter,642e880fcd7287e38beba0b5,old
2,0,2387.0,test3,inter,642e880fcd7287e38beba0b5,old
5,0,994.0999999046326,test3,inter,642e880fcd7287e38beba0b5,old
3,1,1275.0,test3,inter,642e880fcd7287e38beba0b5,old
0,0,1436.1999998092651,test3,inter,642e880fcd7287e38beba0b5,old
4,0,2462.599999904633,test3,inter,642e880fcd7287e38beba0b5,old
1,0,1887.7000000476835,test3,inter,642e880fcd7287e38beba0b5,old
9,1,1189.0,test3,inter,642e880fcd7287e38beba0b5,old
6,0,1232.4000000953674,test3,inter,642e880fcd7287e38beba0b5,old
8,0,1189.5999999046326,test3,inter,642e880fcd7287e38beba0b5,old
14,1,1066.2999999523165,test3,inter,642e880fcd7287e38beba0b5,old
1,1,2282.7999999523163,test3,inter,642e880fcd7287e38beba0b5,old
0,0,2828.7000000476837,test3,inter,642e880fcd7287e38beba0b5,old
2,0,2891.5,test3,inter,642e880fcd7287e38beba0b5,old
5,1,2973.0,test3,inter,642e880fcd7287e38beba0b5,old
13,0,3645.700000047684,test3,inter,642e880fcd7287e38beba0b5,old
7,1,2918.7000000476837,test3,inter,642e880fcd7287e38beba0b5,old
10,1,2962.7000000476837,test3,inter,642e880fcd7287e38beba0b5,old
6,1,4370.299999952316,test3,inter,642e880fcd7287e38beba0b5,old
14,1,3263.100000143051,test3,inter,642e880fcd7287e38beba0b5,old
