triadNr,isCorrect,RT,trialtype,testtype,partid,age
14,1,1937.6000001430511,test1,block,574ce0a57fd0ec000db73aa6,old
2,1,3694.0,test1,block,574ce0a57fd0ec000db73aa6,old
0,1,3218.0,test1,block,574ce0a57fd0ec000db73aa6,old
6,1,4340.200000047684,test1,block,574ce0a57fd0ec000db73aa6,old
13,1,2647.5,test1,block,574ce0a57fd0ec000db73aa6,old
4,0,4424.100000143051,test1,block,574ce0a57fd0ec000db73aa6,old
10,0,4377.699999809265,test1,block,574ce0a57fd0ec000db73aa6,old
9,1,3143.0,test1,block,574ce0a57fd0ec000db73aa6,old
12,1,1780.8999998569489,test1,block,574ce0a57fd0ec000db73aa6,old
11,1,2019.9000000953672,test1,block,574ce0a57fd0ec000db73aa6,old
8,1,2452.0,test1,block,574ce0a57fd0ec000db73aa6,old
3,0,5014.0,test1,block,574ce0a57fd0ec000db73aa6,old
5,1,4648.600000143051,test1,block,574ce0a57fd0ec000db73aa6,old
1,1,3406.899999856949,test1,block,574ce0a57fd0ec000db73aa6,old
7,1,3450.400000095367,test1,block,574ce0a57fd0ec000db73aa6,old
4,1,4482.200000047684,test2,block,574ce0a57fd0ec000db73aa6,old
14,1,1725.3999998569489,test2,block,574ce0a57fd0ec000db73aa6,old
0,1,1801.0999999046326,test2,block,574ce0a57fd0ec000db73aa6,old
10,1,2202.5,test2,block,574ce0a57fd0ec000db73aa6,old
11,1,1464.8000001907349,test2,block,574ce0a57fd0ec000db73aa6,old
2,1,2183.2999999523163,test2,block,574ce0a57fd0ec000db73aa6,old
13,1,2490.2999999523163,test2,block,574ce0a57fd0ec000db73aa6,old
7,1,2420.400000095367,test2,block,574ce0a57fd0ec000db73aa6,old
9,1,1906.0999999046328,test2,block,574ce0a57fd0ec000db73aa6,old
3,1,3449.2999999523163,test2,block,574ce0a57fd0ec000db73aa6,old
12,1,1625.5,test2,block,574ce0a57fd0ec000db73aa6,old
5,1,1915.3999998569489,test2,block,574ce0a57fd0ec000db73aa6,old
6,1,1682.0,test2,block,574ce0a57fd0ec000db73aa6,old
8,1,1746.0999999046326,test2,block,574ce0a57fd0ec000db73aa6,old
1,1,2764.2000000476837,test2,block,574ce0a57fd0ec000db73aa6,old
0,1,1657.1000001430511,test3,block,574ce0a57fd0ec000db73aa6,old
8,1,1580.6000001430511,test3,block,574ce0a57fd0ec000db73aa6,old
2,1,2780.5,test3,block,574ce0a57fd0ec000db73aa6,old
11,1,1507.1000001430511,test3,block,574ce0a57fd0ec000db73aa6,old
4,1,3253.0,test3,block,574ce0a57fd0ec000db73aa6,old
3,1,2886.2000000476837,test3,block,574ce0a57fd0ec000db73aa6,old
14,1,1377.4000000953674,test3,block,574ce0a57fd0ec000db73aa6,old
12,1,1179.7999999523165,test3,block,574ce0a57fd0ec000db73aa6,old
13,1,1990.6000001430511,test3,block,574ce0a57fd0ec000db73aa6,old
10,1,1743.2000000476835,test3,block,574ce0a57fd0ec000db73aa6,old
7,1,4382.799999952316,test3,block,574ce0a57fd0ec000db73aa6,old
9,1,1659.3999998569489,test3,block,574ce0a57fd0ec000db73aa6,old
6,1,1452.6999998092651,test3,block,574ce0a57fd0ec000db73aa6,old
1,1,1562.0,test3,block,574ce0a57fd0ec000db73aa6,old
5,1,1500.8999998569489,test3,block,574ce0a57fd0ec000db73aa6,old
14,1,1746.0,test4,block,574ce0a57fd0ec000db73aa6,old
13,1,1588.9000000953674,test4,block,574ce0a57fd0ec000db73aa6,old
7,1,2773.2000000476837,test4,block,574ce0a57fd0ec000db73aa6,old
2,1,1661.7999999523165,test4,block,574ce0a57fd0ec000db73aa6,old
3,1,2293.2999999523163,test4,block,574ce0a57fd0ec000db73aa6,old
1,1,3290.900000095367,test4,block,574ce0a57fd0ec000db73aa6,old
6,1,1630.7999999523165,test4,block,574ce0a57fd0ec000db73aa6,old
12,1,1643.5,test4,block,574ce0a57fd0ec000db73aa6,old
11,1,1801.7000000476835,test4,block,574ce0a57fd0ec000db73aa6,old
10,1,2006.9000000953672,test4,block,574ce0a57fd0ec000db73aa6,old
4,1,1630.0,test4,block,574ce0a57fd0ec000db73aa6,old
9,1,1733.0999999046326,test4,block,574ce0a57fd0ec000db73aa6,old
5,1,2163.7000000476837,test4,block,574ce0a57fd0ec000db73aa6,old
0,1,1163.5,test4,block,574ce0a57fd0ec000db73aa6,old
8,1,2349.099999904633,test4,block,574ce0a57fd0ec000db73aa6,old
13,1,2350.800000190735,test5,block,574ce0a57fd0ec000db73aa6,old
12,1,2296.300000190735,test5,block,574ce0a57fd0ec000db73aa6,old
9,1,1837.6000001430511,test5,block,574ce0a57fd0ec000db73aa6,old
2,1,2683.5,test5,block,574ce0a57fd0ec000db73aa6,old
10,0,6253.100000143051,test5,block,574ce0a57fd0ec000db73aa6,old
1,1,2510.900000095367,test5,block,574ce0a57fd0ec000db73aa6,old
11,1,4593.799999952316,test5,block,574ce0a57fd0ec000db73aa6,old
7,1,3314.900000095367,test5,block,574ce0a57fd0ec000db73aa6,old
3,1,3196.7999999523163,test5,block,574ce0a57fd0ec000db73aa6,old
8,1,2160.5,test5,block,574ce0a57fd0ec000db73aa6,old
14,1,1821.7000000476835,test5,block,574ce0a57fd0ec000db73aa6,old
5,0,6740.099999904633,test5,block,574ce0a57fd0ec000db73aa6,old
0,1,1668.0999999046326,test5,block,574ce0a57fd0ec000db73aa6,old
4,1,4822.599999904633,test5,block,574ce0a57fd0ec000db73aa6,old
6,1,3574.400000095367,test5,block,574ce0a57fd0ec000db73aa6,old
9,1,2536.7999999523163,test6,block,574ce0a57fd0ec000db73aa6,old
2,1,3301.2999999523163,test6,block,574ce0a57fd0ec000db73aa6,old
0,1,1836.4000000953672,test6,block,574ce0a57fd0ec000db73aa6,old
4,1,2062.400000095367,test6,block,574ce0a57fd0ec000db73aa6,old
13,1,1675.7000000476835,test6,block,574ce0a57fd0ec000db73aa6,old
12,1,1751.3999998569489,test6,block,574ce0a57fd0ec000db73aa6,old
14,1,1541.7000000476835,test6,block,574ce0a57fd0ec000db73aa6,old
6,1,2130.400000095367,test6,block,574ce0a57fd0ec000db73aa6,old
5,1,2564.400000095367,test6,block,574ce0a57fd0ec000db73aa6,old
10,1,3050.7999999523163,test6,block,574ce0a57fd0ec000db73aa6,old
8,1,1443.2999999523165,test6,block,574ce0a57fd0ec000db73aa6,old
3,1,1515.5999999046326,test6,block,574ce0a57fd0ec000db73aa6,old
11,1,2615.900000095367,test6,block,574ce0a57fd0ec000db73aa6,old
7,1,2025.7999999523165,test6,block,574ce0a57fd0ec000db73aa6,old
1,1,1769.0999999046326,test6,block,574ce0a57fd0ec000db73aa6,old
5,1,5261.700000047684,test7,block,574ce0a57fd0ec000db73aa6,old
11,1,1939.4000000953672,test7,block,574ce0a57fd0ec000db73aa6,old
10,1,2695.099999904633,test7,block,574ce0a57fd0ec000db73aa6,old
2,1,1671.3999998569489,test7,block,574ce0a57fd0ec000db73aa6,old
0,1,2137.899999856949,test7,block,574ce0a57fd0ec000db73aa6,old
4,1,5215.0,test7,block,574ce0a57fd0ec000db73aa6,old
1,1,1862.0,test7,block,574ce0a57fd0ec000db73aa6,old
9,1,1649.5999999046326,test7,block,574ce0a57fd0ec000db73aa6,old
7,1,1940.1000001430511,test7,block,574ce0a57fd0ec000db73aa6,old
14,1,1342.2999999523165,test7,block,574ce0a57fd0ec000db73aa6,old
3,1,1717.4000000953674,test7,block,574ce0a57fd0ec000db73aa6,old
13,1,1631.0999999046326,test7,block,574ce0a57fd0ec000db73aa6,old
12,1,1841.5,test7,block,574ce0a57fd0ec000db73aa6,old
6,1,1302.7999999523165,test7,block,574ce0a57fd0ec000db73aa6,old
8,1,1527.4000000953674,test7,block,574ce0a57fd0ec000db73aa6,old
11,1,2020.5999999046328,test8,block,574ce0a57fd0ec000db73aa6,old
12,1,1405.8000001907349,test8,block,574ce0a57fd0ec000db73aa6,old
1,1,1552.4000000953674,test8,block,574ce0a57fd0ec000db73aa6,old
14,1,1436.2000000476835,test8,block,574ce0a57fd0ec000db73aa6,old
9,1,1868.1999998092651,test8,block,574ce0a57fd0ec000db73aa6,old
0,1,1779.5,test8,block,574ce0a57fd0ec000db73aa6,old
7,1,2117.2000000476837,test8,block,574ce0a57fd0ec000db73aa6,old
5,1,1709.0999999046326,test8,block,574ce0a57fd0ec000db73aa6,old
4,1,1579.7999999523165,test8,block,574ce0a57fd0ec000db73aa6,old
6,1,1577.0999999046326,test8,block,574ce0a57fd0ec000db73aa6,old
2,1,1767.0,test8,block,574ce0a57fd0ec000db73aa6,old
10,1,2215.099999904633,test8,block,574ce0a57fd0ec000db73aa6,old
8,1,1351.2000000476835,test8,block,574ce0a57fd0ec000db73aa6,old
13,1,2002.7000000476835,test8,block,574ce0a57fd0ec000db73aa6,old
3,1,1388.7999999523165,test8,block,574ce0a57fd0ec000db73aa6,old
12,1,3305.400000095367,part2,block,574ce0a57fd0ec000db73aa6,old
2,1,3629.299999952316,part2,block,574ce0a57fd0ec000db73aa6,old
4,0,7143.600000143051,part2,block,574ce0a57fd0ec000db73aa6,old
10,1,5168.0,part2,block,574ce0a57fd0ec000db73aa6,old
6,1,7815.799999952316,part2,block,574ce0a57fd0ec000db73aa6,old
7,0,4431.299999952316,part2,block,574ce0a57fd0ec000db73aa6,old
9,1,5072.199999809265,part2,block,574ce0a57fd0ec000db73aa6,old
1,1,6013.799999952316,part2,block,574ce0a57fd0ec000db73aa6,old
3,1,3887.699999809265,part2,block,574ce0a57fd0ec000db73aa6,old
14,1,2578.400000095367,part2,block,574ce0a57fd0ec000db73aa6,old
0,0,4160.0,part2,block,574ce0a57fd0ec000db73aa6,old
8,1,3435.7999999523163,part2,block,574ce0a57fd0ec000db73aa6,old
11,1,4609.599999904633,part2,block,574ce0a57fd0ec000db73aa6,old
5,0,,part2,block,574ce0a57fd0ec000db73aa6,old
13,0,4187.799999952316,part2,block,574ce0a57fd0ec000db73aa6,old
