triadNr,isCorrect,RT,trialtype,testtype,partid,age
11,1,6212.5,test1,inter,66ddf87fcc5c581ffea00c28,old
1,0,4178.699999928474,test1,inter,66ddf87fcc5c581ffea00c28,old
10,0,4451.699999928474,test1,inter,66ddf87fcc5c581ffea00c28,old
11,0,2027.600000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
6,1,2819.2999999523163,test1,inter,66ddf87fcc5c581ffea00c28,old
7,0,2483.100000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
14,1,2403.2999999523163,test1,inter,66ddf87fcc5c581ffea00c28,old
9,1,1793.0999999046326,test1,inter,66ddf87fcc5c581ffea00c28,old
4,1,1668.600000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
4,1,2241.600000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
8,1,1863.5,test1,inter,66ddf87fcc5c581ffea00c28,old
6,1,1518.3000000715256,test1,inter,66ddf87fcc5c581ffea00c28,old
13,1,1929.3000000715256,test1,inter,66ddf87fcc5c581ffea00c28,old
2,0,2865.6999999284744,test1,inter,66ddf87fcc5c581ffea00c28,old
5,0,2408.400000095367,test1,inter,66ddf87fcc5c581ffea00c28,old
7,1,2915.399999976158,test1,inter,66ddf87fcc5c581ffea00c28,old
0,0,2160.399999976158,test1,inter,66ddf87fcc5c581ffea00c28,old
3,1,2488.0,test1,inter,66ddf87fcc5c581ffea00c28,old
5,0,2278.600000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
9,1,1629.0,test1,inter,66ddf87fcc5c581ffea00c28,old
12,1,1995.0,test1,inter,66ddf87fcc5c581ffea00c28,old
14,1,2327.3000000715256,test1,inter,66ddf87fcc5c581ffea00c28,old
8,0,1435.4000000953674,test1,inter,66ddf87fcc5c581ffea00c28,old
3,1,1797.0999999046326,test1,inter,66ddf87fcc5c581ffea00c28,old
0,0,1713.8000000715256,test1,inter,66ddf87fcc5c581ffea00c28,old
2,1,2373.900000095367,test1,inter,66ddf87fcc5c581ffea00c28,old
12,1,2556.7000000476837,test1,inter,66ddf87fcc5c581ffea00c28,old
13,0,2689.100000023842,test1,inter,66ddf87fcc5c581ffea00c28,old
1,1,2541.0,test1,inter,66ddf87fcc5c581ffea00c28,old
10,1,2323.0,test1,inter,66ddf87fcc5c581ffea00c28,old
10,1,4672.299999952316,test2,inter,66ddf87fcc5c581ffea00c28,old
12,1,3675.200000047684,test2,inter,66ddf87fcc5c581ffea00c28,old
3,1,2952.5,test2,inter,66ddf87fcc5c581ffea00c28,old
8,0,3256.400000095367,test2,inter,66ddf87fcc5c581ffea00c28,old
13,1,2125.899999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
1,1,2800.1999999284744,test2,inter,66ddf87fcc5c581ffea00c28,old
5,1,2238.100000023842,test2,inter,66ddf87fcc5c581ffea00c28,old
5,0,3845.200000047684,test2,inter,66ddf87fcc5c581ffea00c28,old
7,1,3080.6999999284744,test2,inter,66ddf87fcc5c581ffea00c28,old
11,0,2997.600000023842,test2,inter,66ddf87fcc5c581ffea00c28,old
14,1,3174.7999999523163,test2,inter,66ddf87fcc5c581ffea00c28,old
12,1,1933.399999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
4,1,2421.0,test2,inter,66ddf87fcc5c581ffea00c28,old
10,0,3024.2000000476837,test2,inter,66ddf87fcc5c581ffea00c28,old
13,1,2429.600000023842,test2,inter,66ddf87fcc5c581ffea00c28,old
4,1,1331.5,test2,inter,66ddf87fcc5c581ffea00c28,old
3,1,2336.899999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
1,1,2335.7000000476837,test2,inter,66ddf87fcc5c581ffea00c28,old
14,0,2556.1999999284744,test2,inter,66ddf87fcc5c581ffea00c28,old
0,1,2411.7999999523163,test2,inter,66ddf87fcc5c581ffea00c28,old
0,1,2706.5,test2,inter,66ddf87fcc5c581ffea00c28,old
11,1,1649.399999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
9,1,1722.8000000715256,test2,inter,66ddf87fcc5c581ffea00c28,old
7,1,1671.8000000715256,test2,inter,66ddf87fcc5c581ffea00c28,old
6,1,2043.2999999523165,test2,inter,66ddf87fcc5c581ffea00c28,old
6,0,2112.100000023842,test2,inter,66ddf87fcc5c581ffea00c28,old
2,1,2649.2000000476837,test2,inter,66ddf87fcc5c581ffea00c28,old
2,1,1948.899999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
8,0,2323.100000023842,test2,inter,66ddf87fcc5c581ffea00c28,old
9,1,1949.899999976158,test2,inter,66ddf87fcc5c581ffea00c28,old
7,1,2042.600000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
11,0,2722.5,test3,inter,66ddf87fcc5c581ffea00c28,old
2,1,1618.3000000715256,test3,inter,66ddf87fcc5c581ffea00c28,old
9,1,1911.7999999523165,test3,inter,66ddf87fcc5c581ffea00c28,old
7,1,2306.5,test3,inter,66ddf87fcc5c581ffea00c28,old
8,1,1454.3000000715256,test3,inter,66ddf87fcc5c581ffea00c28,old
0,1,1852.2000000476835,test3,inter,66ddf87fcc5c581ffea00c28,old
0,0,2349.900000095367,test3,inter,66ddf87fcc5c581ffea00c28,old
12,1,1506.2999999523165,test3,inter,66ddf87fcc5c581ffea00c28,old
6,0,2703.399999976158,test3,inter,66ddf87fcc5c581ffea00c28,old
4,1,2671.0,test3,inter,66ddf87fcc5c581ffea00c28,old
6,1,1707.600000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
3,1,2416.8000000715256,test3,inter,66ddf87fcc5c581ffea00c28,old
8,0,2786.2000000476837,test3,inter,66ddf87fcc5c581ffea00c28,old
14,1,2480.600000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
4,1,2695.399999976158,test3,inter,66ddf87fcc5c581ffea00c28,old
11,1,1418.600000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
5,0,3474.899999976158,test3,inter,66ddf87fcc5c581ffea00c28,old
13,0,2839.900000095367,test3,inter,66ddf87fcc5c581ffea00c28,old
3,1,2788.399999976158,test3,inter,66ddf87fcc5c581ffea00c28,old
1,1,3118.100000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
12,1,3204.100000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
13,1,2682.600000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
10,1,2188.0,test3,inter,66ddf87fcc5c581ffea00c28,old
14,1,2458.100000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
2,0,2015.100000023842,test3,inter,66ddf87fcc5c581ffea00c28,old
9,1,1799.0,test3,inter,66ddf87fcc5c581ffea00c28,old
5,1,1584.4000000953674,test3,inter,66ddf87fcc5c581ffea00c28,old
1,0,1905.0,test3,inter,66ddf87fcc5c581ffea00c28,old
10,1,1972.2000000476835,test3,inter,66ddf87fcc5c581ffea00c28,old
1,0,2735.5,test4,inter,66ddf87fcc5c581ffea00c28,old
13,1,2399.100000023842,test4,inter,66ddf87fcc5c581ffea00c28,old
8,1,1885.8000000715256,test4,inter,66ddf87fcc5c581ffea00c28,old
10,1,2912.600000023842,test4,inter,66ddf87fcc5c581ffea00c28,old
5,0,2524.8000000715256,test4,inter,66ddf87fcc5c581ffea00c28,old
4,1,1765.7000000476835,test4,inter,66ddf87fcc5c581ffea00c28,old
9,1,1303.7999999523165,test4,inter,66ddf87fcc5c581ffea00c28,old
3,1,2173.7000000476837,test4,inter,66ddf87fcc5c581ffea00c28,old
11,1,1594.399999976158,test4,inter,66ddf87fcc5c581ffea00c28,old
2,1,1443.7000000476835,test4,inter,66ddf87fcc5c581ffea00c28,old
