rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
21953.5,{worker_id:67bf6326e670ee883ebed99c},id_enter,21958,object_12b.png; object_05b.png; object_07a.png; object_07c.png; object_11b.png; object_09a.png; object_10a.png; object_13c.png; object_01a.png; object_04a.png; object_05c.png; object_06c.png; object_06a.png; object_04b.png; object_02b.png,object_09b.png; object_02c.png; object_09c.png; object_14b.png; object_12a.png; object_08c.png; object_07b.png; object_15c.png; object_13b.png; object_15a.png; object_14c.png; object_08b.png; object_10c.png; object_05a.png; object_15b.png,object_12c.png; object_06b.png; object_01b.png; object_03a.png; object_04c.png; object_01c.png; object_03b.png; object_03c.png; object_02a.png; object_13a.png; object_08a.png; object_10b.png; object_11c.png; object_11a.png; object_14a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 9:34:43 AM,2025-04-28 16:34:43.820,,,,,,,,,,,,,,,,,,,,,,,,,,,
18056.70000000298,,make_fullscreen,40049,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
13504,,instruct_1,53559,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
13928.5,,instruct_2,67491,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
13934.60000000894,,instruct_3,81428,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
22371.09999999404,,instruct_4,103802,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
11697.29999999702,,instruct_5,115504,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5811.0999999940395,,instruct_6,121319,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
78654.30000001192,,instruct_7,199976,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,200295,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,201388,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,203390,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
10282.09999999404,,attentioncheck_help,213677,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,213992,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,214410,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,216412,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
28878.90000000596,,attentioncheck_help,245294,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246283,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,246957,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,248959,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
8186.20000000298,,attentioncheck_help,257148,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257880,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,258419,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260421,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
5796.300000011921,,attentioncheck_help,266221,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267087,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
