rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
14217.5,{worker_id:67d05a005a322e6dd63fab31},id_enter,14222,object_01a.png; object_01b.png; object_04b.png; object_06b.png; object_08c.png; object_13a.png; object_13c.png; object_02c.png; object_03a.png; object_02b.png; object_09b.png; object_13b.png; object_12b.png; object_05c.png; object_09a.png,object_04c.png; object_06c.png; object_07a.png; object_02a.png; object_04a.png; object_12a.png; object_11a.png; object_05b.png; object_03b.png; object_14c.png; object_05a.png; object_11c.png; object_10c.png; object_12c.png; object_07b.png,object_15b.png; object_15c.png; object_14a.png; object_14b.png; object_09c.png; object_10a.png; object_06a.png; object_01c.png; object_11b.png; object_08a.png; object_10b.png; object_03c.png; object_08b.png; object_15a.png; object_07c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,4/28/2025, 11:49:30 AM,2025-04-28 16:49:30.338,,,,,,,,,,,,,,,,,,,,,,,,,,
42400.5,,make_fullscreen,56643,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
5427.300000011921,,instruct_1,62073,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
22443,,instruct_2,84519,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
16869.30000001192,,instruct_3,101390,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
42854.5,,instruct_4,144246,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
35745,,instruct_5,179992,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
9230.59999999404,,instruct_6,189224,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
34463.30000001192,,instruct_7,223689,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,224182,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
547.5,,prac_atten_color,225095,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,227096,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,227589,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
659.9000000059605,,prac_atten_color,228686,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,230687,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,230994,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
401.90000000596046,,prac_atten_color,232057,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,234059,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
4566.5999999940395,,attentioncheck_help,238628,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,238969,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,239466,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
641.7999999821186,,prac_atten_color_black,241468,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,242377,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
637.0999999940395,,prac_atten_color,243030,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,245032,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,245785,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
958.7999999821186,,prac_atten_color,246831,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,248833,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249195,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,249638,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
