rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
15779.900000035763,{worker_id:5bc913d99427200001dd47f5},id_enter,15788,object_03b.png; object_02a.png; object_08a.png; object_14a.png; object_13b.png; object_08c.png; object_06b.png; object_06c.png; object_07c.png; object_10b.png; object_10a.png; object_05a.png; object_15b.png; object_01c.png; object_13a.png,object_11a.png; object_11b.png; object_07a.png; object_09b.png; object_01a.png; object_12c.png; object_10c.png; object_04a.png; object_01b.png; object_06a.png; object_14b.png; object_03a.png; object_12a.png; object_04c.png; object_11c.png,object_13c.png; object_09a.png; object_09c.png; object_15a.png; object_15c.png; object_05c.png; object_12b.png; object_02c.png; object_05b.png; object_03c.png; object_08b.png; object_04b.png; object_14c.png; object_07b.png; object_02b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Avast/134.0.0.0,4/28/2025, 9:31:01 PM,2025-04-29 01:31:01.296,,,,,,,,,,,,,,,,,,,,,,,,,,
18993.099999964237,,make_fullscreen,34807,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
11766.899999976158,,instruct_1,46581,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
11377.599999964237,,instruct_2,57969,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
7482.899999976158,,instruct_3,65454,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
19051.69999998808,,instruct_4,84507,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
13120,,instruct_5,97637,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
4692.600000023842,,instruct_6,102330,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
27366.399999976158,,instruct_7,129699,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,130039,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
1009.1000000238419,,prac_atten_color,131108,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133110,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133448,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,133872,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
354.69999998807907,,prac_atten_color_black,135873,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,136856,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,137273,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
763.6000000238419,,prac_atten_color_black,139275,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,140268,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
599.1999999880791,,prac_atten_color,140895,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142897,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,143676,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,144233,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
79.69999998807907,,prac_atten_color_black,146235,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,147081,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
575.9000000357628,,prac_atten_color,147877,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,149879,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
7166.800000011921,,attentioncheck_help,157047,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,157668,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,158371,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
479.19999998807907,,prac_atten_color_black,160373,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,161077,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
916.5999999642372,,prac_atten_color,162097,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,164099,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,164486,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,164915,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
288.80000001192093,,prac_atten_color_black,166917,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,167902,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,168645,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
253,,prac_atten_color_black,170647,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
7911.799999952316,,attentioncheck_feedback,178563,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,
12171.599999964237,,last_instruct,190736,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),194238,,,,,,,,black_plus_sign,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),194910,,,,,,,,green,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,195412,,,,,,,,green,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
1765.9000000357628,,prac_rt_thecrossant_black,196747,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,196851,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),200354,,,,,,,,black_plus_sign,,,null,object_03b.png,object_11a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,201158,,,,,,,,blue,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,201660,,,,,,,,blue,,,null,object_03b.png,object_11a.png,,,,,,,,,,,,,,,,,,,,
1573.4000000357628,,prac_rt_thecrossant_black,203036,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,203139,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),206642,,,,,,,,black_plus_sign,,,null,object_13b.png,object_01a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,207444,,,,,,,,blue,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,207946,,,,,,,,blue,,,null,object_13b.png,object_01a.png,,,,,,,,,,,,,,,,,,,,
1755.800000011921,,prac_rt_thecrossant_black,209242,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,209345,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),212847,,,,,,,,black_plus_sign,,,null,object_10b.png,object_06a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,213647,,,,,,,,blue,,,null,object_07a.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,214147,,,,,,,,green,,,null,object_10b.png,object_06a.png,,,,,,,,,,,,,,,,,,,,
1568.9000000357628,,prac_rt_thecrossant_black,215480,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,215583,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
8950.900000035763,,instruct_dir_01,224537,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
33155.69999998808,,instruct_dir_2,257696,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
5868.300000011921,,instruct_dir_3,263566,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
11765.300000011921,,instruct_dir_4,275334,,,,,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,275437,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,
6322.199999988079,,intro_0,281760,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_directmemory_phase,296762,,,,,,,,practice/object_04b.png,,,null,,,0,,practice/object_01a.png,practice/object_04a.png,practice/object_02a.png,practice/object_04a.png,0,0,,,,,,,,,,,,
null,,warning_page,301766,,,,,,,,warning,,,null,,,,,,,,,,,,,,,,,,,,,,
