rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
16725.89999999851,{worker_id:5dcfe5ec41fb3f0de0080f1a},id_enter,16714,object_05a.png; object_08c.png; object_01a.png; object_14b.png; object_08a.png; object_05c.png; object_13a.png; object_15b.png; object_11a.png; object_05b.png; object_10c.png; object_15a.png; object_10b.png; object_13b.png; object_06b.png,object_14c.png; object_07a.png; object_03b.png; object_14a.png; object_15c.png; object_08b.png; object_09a.png; object_02a.png; object_04a.png; object_06c.png; object_03c.png; object_04c.png; object_02b.png; object_09c.png; object_13c.png,object_04b.png; object_11b.png; object_10a.png; object_12c.png; object_07c.png; object_01b.png; object_11c.png; object_12a.png; object_01c.png; object_12b.png; object_06a.png; object_09b.png; object_03a.png; object_02c.png; object_07b.png,blocked,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 7:38:19 PM,2025-04-29 00:38:19.745,,,,,,,,,,,,,,,,,,,,,,,,,,
35703.60000000149,,make_fullscreen,52425,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
3880.7000000029802,,instruct_1,56308,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
8665.39999999851,,instruct_2,64975,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
6647.39999999851,,instruct_3,71624,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
17214.5,,instruct_4,88840,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
11616.20000000298,,instruct_5,100458,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
3031,,instruct_6,103491,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
20031.80000000447,,instruct_7,123525,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,124341,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,124933,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
334.5,,prac_atten_color_black,126936,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,127752,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
368.40000000596046,,prac_atten_color,128514,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,130517,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,131163,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
671.1000000014901,,prac_atten_color,132046,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,134049,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,134573,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
388.3999999985099,,prac_atten_color,135525,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,137528,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,137982,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
442.20000000298023,,prac_atten_color,138466,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
241.29999999701977,,prac_atten_color_black,140469,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,
