rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
22663.100000023842,{worker_id:63b9ff9f64549294f0abe3c1},id_enter,22668,object_10a.png; object_03b.png; object_05c.png; object_08c.png; object_14a.png; object_06a.png; object_02c.png; object_10b.png; object_06c.png; object_01b.png; object_10c.png; object_07a.png; object_07c.png; object_04a.png; object_03a.png,object_02b.png; object_08b.png; object_11c.png; object_14c.png; object_03c.png; object_12c.png; object_01a.png; object_07b.png; object_11a.png; object_06b.png; object_09b.png; object_05a.png; object_13a.png; object_13b.png; object_13c.png,object_15c.png; object_14b.png; object_04c.png; object_02a.png; object_15a.png; object_09c.png; object_08a.png; object_12a.png; object_05b.png; object_01c.png; object_04b.png; object_15b.png; object_09a.png; object_12b.png; object_11b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 8:08:05 PM,2025-04-29 00:08:05.874,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843.5,,make_fullscreen,44556,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
3567.6999999284744,,instruct_1,48131,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
7844.5,,instruct_2,55979,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5999,,instruct_3,61979,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
20181.399999976158,,instruct_4,82165,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
11421.299999952316,,instruct_5,93589,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
2975.7999999523163,,instruct_6,96566,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
32768.700000047684,,instruct_7,129337,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,130000,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,130760,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,132774,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
7122.799999952316,,attentioncheck_help,139898,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,140548,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,141510,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
643.5,,prac_atten_color_black,143522,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,143983,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,144831,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
66.70000004768372,,prac_atten_color_black,146833,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,147416,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
593.7000000476837,,prac_atten_color,148386,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,150388,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,150846,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,151395,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
135.60000002384186,,prac_atten_color_black,153413,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,154288,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
514,,prac_atten_color,154810,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,156823,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,157715,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
615.7999999523163,,prac_atten_color,158418,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,160425,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,161146,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
658,,prac_atten_color,161974,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,163975,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,164565,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,165113,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
139.20000004768372,,prac_atten_color_black,167122,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,167983,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
