rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
20468,{worker_id:67682f6c22691dbfb82ae15d},id_enter,20473,object_09b.png; object_11a.png; object_10c.png; object_14c.png; object_08c.png; object_07c.png; object_05c.png; object_07a.png; object_01a.png; object_06b.png; object_02b.png; object_04a.png; object_15c.png; object_14b.png; object_12b.png,object_05a.png; object_05b.png; object_14a.png; object_09c.png; object_04c.png; object_03c.png; object_15a.png; object_06c.png; object_01b.png; object_02a.png; object_04b.png; object_03a.png; object_12c.png; object_11c.png; object_11b.png,object_06a.png; object_01c.png; object_13b.png; object_09a.png; object_13a.png; object_03b.png; object_10b.png; object_15b.png; object_07b.png; object_12a.png; object_02c.png; object_08a.png; object_13c.png; object_10a.png; object_08b.png,,,,,,,,,,,,,,,,,,,,,,,,
23493,,make_fullscreen,43983,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,
13190,,instruct_1,57189,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,
45709,,instruct_2,102903,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
18492,,instruct_3,121398,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
34986,,instruct_4,156392,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
16605,,instruct_5,173008,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
5478,,instruct_6,178490,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
62554,,instruct_7,241050,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,241395,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,242472,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,244476,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
11054,,attentioncheck_help,255537,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,255875,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,256713,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,258715,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
14770,,attentioncheck_help,273489,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274056,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,274563,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
813,,prac_atten_color_black,276565,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,277465,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
1041,,prac_atten_color,278537,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,280538,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,280873,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
834,,prac_atten_color,281917,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,283918,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,284281,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,284864,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
363,,prac_atten_color_black,286868,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,287689,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,288650,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
327,,prac_atten_color_black,290653,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,291097,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,291675,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
241,,prac_atten_color_black,293677,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
