rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
13371.100000000559,{worker_id:67e73459f6f2f5a2addca351},id_enter,13375,object_06a.png; object_11c.png; object_12c.png; object_15a.png; object_05a.png; object_05c.png; object_11b.png; object_10a.png; object_11a.png; object_08c.png; object_04c.png; object_07a.png; object_06b.png; object_14b.png; object_12a.png,object_09c.png; object_09b.png; object_13c.png; object_04b.png; object_08b.png; object_06c.png; object_03b.png; object_10b.png; object_02a.png; object_14a.png; object_09a.png; object_02c.png; object_04a.png; object_07c.png; object_12b.png,object_01a.png; object_13a.png; object_15b.png; object_03a.png; object_10c.png; object_02b.png; object_01b.png; object_15c.png; object_13b.png; object_01c.png; object_03c.png; object_08a.png; object_14c.png; object_05b.png; object_07b.png,,,,,,,,,,,,,,,,,,,,,,,,,
13087.100000000559,,make_fullscreen,26470,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,
9476.800000000745,,instruct_1,35949,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,
56453.40000000037,,instruct_2,92405,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
12261.900000000373,,instruct_3,104669,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
30909.299999999814,,instruct_4,135581,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
11644.700000000186,,instruct_5,147228,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
12230.200000000186,,instruct_6,159460,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
32717.699999999255,,instruct_7,192180,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,192646,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,193603,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
1590.5999999996275,,prac_atten_color_black,195607,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,196064,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,196635,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
1965.9000000003725,,prac_atten_color_black,198639,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,199476,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,199928,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
680.2000000001863,,prac_atten_color_black,201931,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,202884,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,203492,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,
330.5,,prac_atten_color_black,205496,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,206295,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
467.5,,prac_atten_color,207119,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209123,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,209709,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
605.7999999998137,,prac_atten_color,210542,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,212544,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,213118,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
481.79999999981374,,prac_atten_color,213706,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,215709,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
