rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
42317.5,{worker_id:67da8424e1b87b3f612d4c09},id_enter,42321,object_08b.png; object_05a.png; object_04b.png; object_13b.png; object_15b.png; object_03c.png; object_06b.png; object_10a.png; object_10c.png; object_03b.png; object_15c.png; object_09a.png; object_05b.png; object_15a.png; object_14c.png,object_01a.png; object_05c.png; object_11b.png; object_07b.png; object_08c.png; object_04c.png; object_12c.png; object_02a.png; object_12b.png; object_13a.png; object_07a.png; object_14b.png; object_02c.png; object_08a.png; object_11c.png,object_01b.png; object_13c.png; object_07c.png; object_06a.png; object_01c.png; object_09c.png; object_03a.png; object_14a.png; object_04a.png; object_10b.png; object_02b.png; object_12a.png; object_09b.png; object_11a.png; object_06c.png,,,,,,,,,,,,,,,,,,,,,,,,
35743.69999998808,,make_fullscreen,78074,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,
12961.5,,instruct_1,91039,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,
27540.5,,instruct_2,118582,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
20380.100000023842,,instruct_3,138964,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
47533.90000000596,,instruct_4,186500,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
28477.40000000596,,instruct_5,214979,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
11096.40000000596,,instruct_6,226077,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
75766.5,,instruct_7,301845,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,302619,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,303252,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,305254,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
14502.799999982119,,attentioncheck_help,319759,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,320531,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,321247,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,323249,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
30418.30000001192,,attentioncheck_help,353670,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,354356,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,355390,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,357392,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
13100.699999988079,,attentioncheck_help,370494,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,370865,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,371430,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,373431,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
9093.59999999404,,attentioncheck_help,382526,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,383364,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,383933,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
1664.2000000178814,,prac_atten_color_black,385935,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,386772,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,387740,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
251.80000001192093,,prac_atten_color_black,389743,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,390178,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,390860,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
156.7000000178814,,prac_atten_color_black,392863,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,393593,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
819.1000000238419,,prac_atten_color,394491,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,396492,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,397010,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,397510,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
42,,prac_atten_color_black,399511,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,400416,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
839.1999999880791,,prac_atten_color,401445,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,403448,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
13494.299999982119,,attentioncheck_feedback,416945,,,,cross_check_feedback,0,,,1,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,417595,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,418350,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
353.7000000178814,,prac_atten_color_black,420353,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,421003,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,421663,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
32.80000001192093,,prac_atten_color_black,423666,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,424410,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
665.5999999940395,,prac_atten_color,425218,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,
