rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,completion_code
8689,{worker_id:6737fbf250cb4f94c3ab8d39},id_enter,8727,object_03a.png; object_01b.png; object_01c.png; object_07a.png; object_07b.png; object_04b.png; object_05a.png; object_07c.png; object_06a.png; object_09c.png; object_11b.png; object_12c.png; object_13b.png; object_14a.png; object_15b.png,object_01a.png; object_06c.png; object_02a.png; object_02b.png; object_08c.png; object_04a.png; object_08b.png; object_10a.png; object_09a.png; object_10b.png; object_11a.png; object_12a.png; object_13c.png; object_14c.png; object_15a.png,object_02c.png; object_06b.png; object_03b.png; object_05c.png; object_03c.png; object_04c.png; object_08a.png; object_05b.png; object_09b.png; object_10c.png; object_11c.png; object_12b.png; object_13a.png; object_14b.png; object_15c.png,,,,,,,,,,,,,,,,
3410,,make_fullscreen,12479,,,,fullscreen,0,,,,,,,,,,,,,,
7049,,instruct_1,19606,,,,instruct,0,Next,,,,,,,,,,,,,
4308,,instruct_2,24002,,,,instruct,1,Next,,,,,,,,,,,,,
15390,,instruct_3,39500,,,,instruct,1,Next,,,,,,,,,,,,,
8596,,instruct_4,48186,,,,instruct,1,Next,,,,,,,,,,,,,
8853,,instruct_5,57097,,,,instruct,1,Next,,,,,,,,,,,,,
1567,,instruct_6,58674,,,,instruct,1,Next,,,,,,,,,,,,,
13712,,instruct_7,72395,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,72720,,,,black_plus_sign,,,null,,,,,,,,,,,,
1037,,prac_atten_color,73842,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,
1020,,prac_atten_color_black,75847,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,76158,,,,black_plus_sign,,,null,,,,,,,,,,,,
127,,prac_atten_color,76843,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,
708,,prac_atten_color_black,78846,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,79569,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,80157,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
553,,prac_atten_color_black,82161,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,82987,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,83459,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
676,,prac_atten_color_black,85462,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,86401,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,87187,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
396,,prac_atten_color_black,89190,,,,black_plus_sign,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,89811,,,,black_plus_sign,,,null,,,,,,,,,,,,
884,,prac_atten_color,90813,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,92816,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,93220,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,93963,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
68,,prac_atten_color_black,95966,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,96630,,,,black_plus_sign,,,null,,,,,,,,,,,,
748,,prac_atten_color,97571,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,
null,,prac_atten_color_black,99572,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,100041,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,100454,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
515,,prac_atten_color_black,102457,,,,black_plus_sign,,,49,,,,,,,,,,,,
null,,prac_atten_color_black,103460,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,104081,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
248,,prac_atten_color_black,106084,,,,black_plus_sign,,,49,,,,,,,,,,,,
5689,,attentioncheck_feedback,111792,,,,cross_check_feedback,0,,,,,,,,,,,,,,
351518,,last_instruct,463376,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_learn_phase(without_color),468632,,,,black_plus_sign,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_black_cross(without_color),470098,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,470614,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_thecrossant_black,471677,,,,black_plus_sign,,,null,,,NaN,,,,,,,,,
null,,prac_color_black,471812,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),475421,,,,black_plus_sign,,,null,object_08c.png,object_07b.png,,,,,,,,,,
null,,black_cross(without_color)1,475864,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,476680,,,,blue,,,null,object_08c.png,object_07b.png,,,,,,,,,,
869,,prac_rt_thecrossant_black,477694,,,,black_plus_sign,,,49,,,1,1,,,,,,,,
null,,prac_color_black,477802,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),481426,,,,black_plus_sign,,,null,object_14a.png,object_14c.png,,,,,,,,,,
null,,black_cross(without_color)1,481922,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,482698,,,,green,,,null,object_14a.png,object_14c.png,,,,,,,,,,
1389,,prac_rt_thecrossant_black,483836,,,,black_plus_sign,,,49,,,0.5,0,,,,,,,,
null,,prac_color_black,483979,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),487525,,,,black_plus_sign,,,null,object_09c.png,object_10b.png,,,,,,,,,,
null,,black_cross(without_color)1,487945,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,488462,,,,green,,,null,object_09c.png,object_10b.png,,,,,,,,,,
2206,,prac_rt_thecrossant_black,489773,,,,black_plus_sign,,,50,,,0.6666666666666666,1,,,,,,,,
null,,prac_color_black,489883,,,,black_plus_sign,,,null,,,,,,,,,,,,
17810,,instruct_dir_01,507732,,,,instruct,0,Next,,,,,,,,,,,,,
25962,,instruct_dir_2,533766,,,,instruct,1,Next,,,,,,,,,,,,,
27183,,instruct_dir_3,561071,,,,instruct,1,Next,,,,,,,,,,,,,
1303,,instruct_dir_4,562479,,,,instruct,1,Start,,,,,,,,,,,,,
null,,thebreak,562598,,,,<p></p>,,,null,,,,,,,,,,,,
6635,,intro_0,569251,,,,instruct,,,32,,,,,,,,,,,,
4489,,prac_directmemory_phase,573757,,,,practice/object_04a.png,,,49,,,,1,practice/object_04b.png,practice/object_01b.png,practice/object_02a.png,practice/object_04b.png,1,1,,
5300,,prac_directmemory_phase,579123,,,,practice/object_03a.png,,,49,,,,0,practice/object_02b.png,practice/object_02a.png,practice/object_03b.png,practice/object_03b.png,0,0.5,,
3389,,prac_directmemory_phase,582516,,,,practice/object_02a.png,,,51,,,,0,practice/object_03a.png,practice/object_02b.png,practice/object_03b.png,practice/object_02b.png,0,0.3333333333333333,,
6810,,prac_directmemory_phase,589392,,,,practice/object_01a.png,,,50,,,,0,practice/object_01b.png,practice/object_02b.png,practice/object_04a.png,practice/object_01b.png,0,0.25,,
12579,,practice_feedback_force_restart,601992,,,,practice_feedback,0,,,,,,,,,,,,,1,
11294,,last_instruct,613292,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_learn_phase(without_color),618684,,,,black_plus_sign,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_black_cross(without_color),619775,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,620288,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_thecrossant_black,621225,,,,black_plus_sign,,,null,,,0.6666666666666666,,,,,,,,,
null,,prac_color_black,621334,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),624866,,,,black_plus_sign,,,null,object_08c.png,object_07b.png,,,,,,,,,,
null,,black_cross(without_color)1,625288,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,625821,,,,blue,,,null,object_08c.png,object_07b.png,,,,,,,,,,
1620,,prac_rt_thecrossant_black,627287,,,,black_plus_sign,,,49,,,0.75,1,,,,,,,,
null,,prac_color_black,627397,,,,black_plus_sign,,,null,,,,,,,,,,,,
