rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
6587.100000000006,{worker_id:5a8b61fcf1408d000176b02f},id_enter,6590,object_14a.png; object_14c.png; object_10a.png; object_15a.png; object_05c.png; object_04c.png; object_09c.png; object_03a.png; object_07c.png; object_08c.png; object_02c.png; object_02b.png; object_01c.png; object_07a.png; object_06b.png,object_15c.png; object_09b.png; object_02a.png; object_11a.png; object_01a.png; object_01b.png; object_13c.png; object_07b.png; object_08b.png; object_04a.png; object_11c.png; object_10c.png; object_06c.png; object_04b.png; object_03c.png,object_13b.png; object_06a.png; object_08a.png; object_05b.png; object_15b.png; object_12a.png; object_14b.png; object_12c.png; object_13a.png; object_03b.png; object_09a.png; object_05a.png; object_12b.png; object_11b.png; object_10b.png,blocked,Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/2/2025, 2:31:24 PM,2025-05-02 19:31:24.436,,,,,,,,,,,,,,,,,,,,,,,,,,,
21051.29999999999,,make_fullscreen,27685,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
63134.600000000035,,instruct_1,90822,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
37447.09999999998,,instruct_2,128272,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
9359.400000000023,,instruct_3,137635,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
30614.100000000035,,instruct_4,168252,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
13299,,instruct_5,181554,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
15236.399999999965,,instruct_6,196794,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
25449.900000000023,,instruct_7,222248,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,222629,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
553.1000000000349,,prac_atten_color,223655,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,225658,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,226040,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,226572,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
123.5,,prac_atten_color_black,228574,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,229449,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,229888,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
161.90000000002328,,prac_atten_color_black,231890,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,232859,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
705.5999999999767,,prac_atten_color,233637,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,235639,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,236268,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
501.70000000001164,,prac_atten_color,237074,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,239076,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,239676,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,240149,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
160.29999999998836,,prac_atten_color_black,242150,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,243084,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
450.20000000001164,,prac_atten_color,243673,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,245675,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246493,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
647.0999999999767,,prac_atten_color,247151,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249153,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249902,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,250475,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
138.89999999996508,,prac_atten_color_black,252478,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253311,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
459.20000000001164,,prac_atten_color,254331,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,256334,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
11345.300000000017,,attentioncheck_feedback,267683,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,
12704.20000000007,,last_instruct,280389,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),283893,,,,,,,,black_plus_sign,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),284802,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,285304,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
1150.2000000000698,,prac_rt_thecrossant_black,286403,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,286507,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),290010,,,,,,,,black_plus_sign,,,null,object_02c.png,object_11c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,290955,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,291457,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,,,,,,,,,,,,,
1311.4000000000233,,prac_rt_thecrossant_black,293048,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,293151,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),296655,,,,,,,,black_plus_sign,,,null,object_10a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,297599,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,298101,,,,,,,,blue,,,null,object_10a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
804.3999999999069,,prac_rt_thecrossant_black,299579,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,299682,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),303184,,,,,,,,black_plus_sign,,,null,object_03c.png,object_06b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,304128,,,,,,,,green,,,null,object_11a.png,object_15a.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,304630,,,,,,,,blue,,,null,object_03c.png,object_06b.png,,,,,,,,,,,,,,,,,,,,,
