rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
7532.4000000059605,{worker_id:6100372e3a116cb5cb36ebea},id_enter,7535,object_10a.png; object_03a.png; object_08a.png; object_11a.png; object_05c.png; object_13a.png; object_07a.png; object_05a.png; object_15b.png; object_12c.png; object_08c.png; object_03c.png; object_12a.png; object_02b.png; object_01a.png,object_11b.png; object_09c.png; object_13c.png; object_10b.png; object_05b.png; object_15a.png; object_02a.png; object_04b.png; object_09b.png; object_01c.png; object_14c.png; object_12b.png; object_04a.png; object_13b.png; object_06c.png,object_07b.png; object_08b.png; object_14b.png; object_06a.png; object_09a.png; object_10c.png; object_14a.png; object_15c.png; object_06b.png; object_03b.png; object_02c.png; object_07c.png; object_01b.png; object_04c.png; object_11c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/2/2025, 12:42:13 PM,2025-05-02 19:42:13.522,,,,,,,,,,,,,,,,,,,,,,,,,,,
28395.40000000596,,make_fullscreen,35958,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
9044.5,,instruct_1,45005,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
18894.59999999404,,instruct_2,63902,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
13174.300000011921,,instruct_3,77077,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
34502.69999998808,,instruct_4,111581,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
23742.40000000596,,instruct_5,135325,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
5806.9000000059605,,instruct_6,141133,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
84478.80000001192,,instruct_7,225613,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,226193,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,227024,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1019,,prac_atten_color_black,229025,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,229600,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
529.5,,prac_atten_color,230270,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,232272,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,233006,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,233658,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,235659,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
7118.200000017881,,attentioncheck_help,242779,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,243531,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
374.60000002384186,,prac_atten_color,244480,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246482,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246938,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
407.60000002384186,,prac_atten_color,247700,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249701,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,250345,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
417,,prac_atten_color,251430,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253431,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253751,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
418.80000001192093,,prac_atten_color,254741,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,256743,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257159,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
491.09999999403954,,prac_atten_color,258219,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260222,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260567,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
435.19999998807907,,prac_atten_color,261036,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,263037,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,263973,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,264442,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
49.099999994039536,,prac_atten_color_black,266444,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
12160,,attentioncheck_feedback,278606,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,
4869.199999988079,,last_instruct,283476,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),286978,,,,,,,,black_plus_sign,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),287850,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
481.19999998807907,,prac_rt_plussign_withcolor,288351,,,,,,,,green,,,50,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,289484,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,289585,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),293088,,,,,,,,black_plus_sign,,,null,object_14a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,293753,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,294255,,,,,,,,blue,,,null,object_14a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
733.3000000119209,,prac_rt_thecrossant_black,295489,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,295591,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),299095,,,,,,,,black_plus_sign,,,null,object_14c.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,299761,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,300263,,,,,,,,green,,,null,object_14c.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
1046.7000000178814,,prac_rt_thecrossant_black,301768,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,301871,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),305373,,,,,,,,black_plus_sign,,,null,object_06b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,306040,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,306541,,,,,,,,blue,,,null,object_06b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
640.3000000119209,,prac_rt_thecrossant_black,307648,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,307749,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
2391,,instruct_dir_01,310141,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
9126.800000011921,,instruct_dir_2,319269,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3078.9000000059605,,instruct_dir_3,322349,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3790.7999999821186,,instruct_dir_4,326141,,,,,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,326243,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1071.2000000178814,,intro_0,327315,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
4103.100000023842,,prac_directmemory_phase,331420,,,,,,,,practice/object_01a.png,,,51,,,1,,practice/object_04b.png,practice/object_02a.png,practice/object_01b.png,practice/object_01b.png,1,1,,,,,,,,,,,,,
5842.9000000059605,,prac_directmemory_phase,337267,,,,,,,,practice/object_03a.png,,,50,,,0,,practice/object_03b.png,practice/object_04b.png,practice/object_01a.png,practice/object_03b.png,0,0.5,,,,,,,,,,,,,
1686.300000011921,,prac_directmemory_phase,338955,,,,,,,,practice/object_04a.png,,,50,,,0,,practice/object_04b.png,practice/object_03b.png,practice/object_02a.png,practice/object_04b.png,0,0.3333333333333333,,,,,,,,,,,,,
1647.300000011921,,prac_directmemory_phase,340604,,,,,,,,practice/object_02a.png,,,51,,,1,,practice/object_01b.png,practice/object_01a.png,practice/object_02b.png,practice/object_02b.png,1,0.5,,,,,,,,,,,,,
8119.799999982119,,practice_feedback_force_restart,348725,,,,,,,,practice_feedback,0,,,,,,,,,,,,,1,,,,,,,,,,,,
1549.3999999761581,,last_instruct,350275,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),353777,,,,,,,,black_plus_sign,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),354476,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,354978,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
1252.9000000059605,,prac_rt_thecrossant_black,356283,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,356385,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),359888,,,,,,,,black_plus_sign,,,null,object_14a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,360554,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,361055,,,,,,,,blue,,,null,object_14a.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
943.4000000059605,,prac_rt_thecrossant_black,362634,,,,,,,,black_plus_sign,,,50,,,0,0.8333333333333334,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,362740,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),366243,,,,,,,,black_plus_sign,,,null,object_14c.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,366910,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,367411,,,,,,,,green,,,null,object_14c.png,object_02c.png,,,,,,,,,,,,,,,,,,,,,
547.2000000178814,,prac_rt_thecrossant_black,368326,,,,,,,,black_plus_sign,,,50,,,1,0.8571428571428571,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,368429,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),371931,,,,,,,,black_plus_sign,,,null,object_06b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,372598,,,,,,,,green,,,null,object_03c.png,object_12b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,373100,,,,,,,,blue,,,null,object_06b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
1273,,prac_rt_thecrossant_black,374306,,,,,,,,black_plus_sign,,,49,,,1,0.875,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,374409,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
858.5,,instruct_dir_01,375269,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
1047,,instruct_dir_2,376317,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
