rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
15778.599999964237,{worker_id:67c42099df7ccfecb74a7171},id_enter,15782,object_05c.png; object_14c.png; object_01c.png; object_09c.png; object_08c.png; object_06c.png; object_03a.png; object_03c.png; object_07c.png; object_03b.png; object_09b.png; object_13c.png; object_07b.png; object_15a.png; object_13a.png,object_02a.png; object_09a.png; object_04a.png; object_08a.png; object_11c.png; object_11b.png; object_05b.png; object_14b.png; object_05a.png; object_12a.png; object_01b.png; object_14a.png; object_10c.png; object_06b.png; object_04c.png,object_15c.png; object_10a.png; object_12c.png; object_02c.png; object_04b.png; object_10b.png; object_12b.png; object_02b.png; object_15b.png; object_06a.png; object_13b.png; object_07a.png; object_01a.png; object_08b.png; object_11a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/2/2025, 8:24:35 PM,2025-05-02 20:24:35.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
12932.699999988079,,make_fullscreen,28742,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
3070.7999999523163,,instruct_1,31816,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
14060.099999964237,,instruct_2,45913,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
49224.80000001192,,instruct_3,95139,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
9017,,instruct_4,104159,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
12580.300000011921,,instruct_5,116743,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
4375.200000047684,,instruct_6,121120,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
17792.80000001192,,instruct_7,138914,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,139637,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,140335,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,142346,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
135108.69999998808,,attentioncheck_help,277458,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,278181,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,278836,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
354.80000001192093,,prac_atten_color_black,280842,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281598,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
549.6999999880791,,prac_atten_color,282675,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,284686,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,285029,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
606.0999999642372,,prac_atten_color,285955,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,287960,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,288444,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
546.5,,prac_atten_color,289220,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,291226,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,291873,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,292370,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
71.40000003576279,,prac_atten_color_black,294389,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,295305,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
672.6999999880791,,prac_atten_color,296387,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,298405,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,298743,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
770.6000000238419,,prac_atten_color,299536,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,301544,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,302166,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
538.1000000238419,,prac_atten_color,303154,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,305163,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,305592,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
741.9000000357628,,prac_atten_color,306412,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,308421,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
112444.39999997616,,attentioncheck_feedback,420867,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,,
5177.399999976158,,last_instruct,426045,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),429549,,,,,,,,black_plus_sign,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),430351,,,,,,,,blue,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,430869,,,,,,,,blue,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,432078,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,432184,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),435702,,,,,,,,black_plus_sign,,,null,object_05c.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,436648,,,,,,,,blue,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,437150,,,,,,,,green,,,null,object_05c.png,object_02a.png,,,,,,,,,,,,,,,,,,,,,
1041.300000011921,,prac_rt_thecrossant_black,438097,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,438203,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),441707,,,,,,,,black_plus_sign,,,null,object_01b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,442656,,,,,,,,blue,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,443172,,,,,,,,green,,,null,object_01b.png,object_09b.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,444264,,,,,,,,black_plus_sign,,,null,,,1,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,444373,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),447880,,,,,,,,black_plus_sign,,,null,object_05a.png,object_07c.png,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,448824,,,,,,,,blue,,,null,object_14a.png,object_13c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,449330,,,,,,,,green,,,null,object_05a.png,object_07c.png,,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,450554,,,,,,,,black_plus_sign,,,null,,,1,,,,,,,,,,,,,,,,,,,,
null,,warning_page,455563,,,,,,,,warning,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_color_black,455669,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
2252.599999964237,,instruct_dir_01,457924,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
2631.600000023842,,instruct_dir_2,460557,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3513.300000011921,,instruct_dir_3,464072,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
2637.400000035763,,instruct_dir_4,466711,,,,,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,466826,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
900.3000000119209,,intro_0,467728,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
