rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
26456.40000000014,{worker_id:680d155019b77b986ff85126},id_enter,26463,object_11b.png; object_05b.png; object_12b.png; object_02c.png; object_14c.png; object_01b.png; object_06c.png; object_03c.png; object_09c.png; object_09b.png; object_12a.png; object_13c.png; object_14a.png; object_02b.png; object_13b.png,object_08a.png; object_01a.png; object_14b.png; object_05c.png; object_10c.png; object_02a.png; object_07c.png; object_10a.png; object_04c.png; object_13a.png; object_04b.png; object_06a.png; object_07a.png; object_08c.png; object_10b.png,object_12c.png; object_07b.png; object_11a.png; object_03b.png; object_15c.png; object_06b.png; object_03a.png; object_11c.png; object_04a.png; object_09a.png; object_08b.png; object_05a.png; object_15b.png; object_01c.png; object_15a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/2/2025, 12:40:42 PM,2025-05-02 19:40:42.200,,,,,,,,,,,,,,,,,,,,,,,,,,
105803,,make_fullscreen,132316,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
22243.100000000093,,instruct_1,154563,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
70321.09999999986,,instruct_2,224888,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
44500.60000000009,,instruct_3,269392,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
89879.79999999981,,instruct_4,359276,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
44567.89999999991,,instruct_5,403847,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
7633.799999999814,,instruct_6,411484,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
38205.39999999991,,instruct_7,449692,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,450345,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,451106,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,453115,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
17943.200000000186,,attentioncheck_help,471062,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
