rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
20151.000000000004,{worker_id:613e157ccd6af6049001ce25},id_enter,20153,object_01a.png; object_11c.png; object_03b.png; object_12a.png; object_01b.png; object_15a.png; object_14b.png; object_05c.png; object_03c.png; object_04c.png; object_06c.png; object_08a.png; object_08c.png; object_09c.png; object_11a.png,object_04a.png; object_14a.png; object_05a.png; object_13b.png; object_12b.png; object_01c.png; object_14c.png; object_02a.png; object_05b.png; object_04b.png; object_06b.png; object_07c.png; object_09b.png; object_10a.png; object_11b.png,object_02b.png; object_13a.png; object_13c.png; object_12c.png; object_15c.png; object_02c.png; object_15b.png; object_03a.png; object_06a.png; object_07b.png; object_07a.png; object_08b.png; object_09a.png; object_10c.png; object_10b.png,interleaved,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15,5/8/2025, 5:38:30 PM,2025-05-09 00:38:30.871,,,,,,,,,,,,,,,,,,,,,,,,,,,
11935.000000000007,,make_fullscreen,32118,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
2741,,instruct_1,34868,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
9295.999999999993,,instruct_2,44166,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
6347,,instruct_3,50514,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
16749,,instruct_4,67266,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
9615,,instruct_5,76883,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
3382,,instruct_6,80266,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
23348,,instruct_7,103616,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,104254,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,105028,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1302,,prac_atten_color_black,107031,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,107673,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
493,,prac_atten_color,108480,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,110483,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,111090,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,111925,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
240,,prac_atten_color_black,113928,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,114511,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
614.0000000000146,,prac_atten_color,115567,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,117570,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,117930,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
673,,prac_atten_color,118635,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,120638,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,121350,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
606,,prac_atten_color,122034,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,124037,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,124768,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
514,,prac_atten_color,125548,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,127551,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,128189,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
