rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
202238.30000000075,{worker_id:6578ae6e6457e054e58a7c2d},id_enter,204014,object_06a.png; object_13b.png; object_03a.png; object_03b.png; object_14b.png; object_05b.png; object_10a.png; object_03c.png; object_07b.png; object_14a.png; object_15c.png; object_12c.png; object_12a.png; object_11b.png; object_02b.png,object_04b.png; object_07c.png; object_01a.png; object_09a.png; object_08a.png; object_08b.png; object_04c.png; object_09c.png; object_14c.png; object_07a.png; object_05c.png; object_11c.png; object_13a.png; object_06b.png; object_02c.png,object_15b.png; object_11a.png; object_02a.png; object_15a.png; object_10b.png; object_04a.png; object_01b.png; object_05a.png; object_08c.png; object_12b.png; object_06c.png; object_01c.png; object_09b.png; object_10c.png; object_13c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/8/2025, 7:50:55 PM,2025-05-09 00:50:55.651,,,,,,,,,,,,,,,,,,,,,,,,,,
44721.700000000186,,make_fullscreen,248766,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
131501.2999999998,,instruct_1,380269,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
167966.40000000037,,instruct_2,548237,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
44623.300000000745,,instruct_3,592861,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
786141.6999999993,,instruct_4,1379004,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
29030.400000000373,,instruct_5,1408036,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
2062.7000000011176,,instruct_6,1410100,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
14414.900000000373,,instruct_7,1424515,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,1425042,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
