rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
11938.29999999702,{worker_id:6526f601bedbae17738408b1},id_enter,11939,object_03b.png; object_13b.png; object_08c.png; object_01a.png; object_09a.png; object_05b.png; object_03c.png; object_04b.png; object_12a.png; object_07a.png; object_13c.png; object_12b.png; object_08b.png; object_09b.png; object_14c.png,object_01b.png; object_07c.png; object_09c.png; object_15b.png; object_02b.png; object_02a.png; object_14a.png; object_11c.png; object_10b.png; object_06c.png; object_15c.png; object_10c.png; object_06a.png; object_04c.png; object_11b.png,object_02c.png; object_07b.png; object_06b.png; object_01c.png; object_10a.png; object_03a.png; object_05a.png; object_04a.png; object_13a.png; object_11a.png; object_05c.png; object_08a.png; object_12c.png; object_14b.png; object_15a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/8/2025, 8:19:56 PM,2025-05-09 00:19:56.187,,,,,,,,,,,,,,,,,,,,,,,,
52869.70000000298,,make_fullscreen,64817,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,
21039,,instruct_1,85857,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,
14717.10000000894,,instruct_2,100575,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
7742.5,,instruct_3,108318,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
29584.20000000298,,instruct_4,137904,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
10808,,instruct_5,148712,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
4467.100000008941,,instruct_6,153180,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
14475.59999999404,,instruct_7,167657,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,168416,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,169062,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,171064,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
8172.5999999940395,,attentioncheck_help,179237,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,179994,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,180421,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,182422,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
8641.5,,attentioncheck_help,191065,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,192039,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
