rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy
14172,{worker_id:6668a638ee51b4f1656862e8},id_enter,14175,object_15c.png; object_07b.png; object_02a.png; object_13c.png; object_11a.png; object_07c.png; object_13a.png; object_04a.png; object_04b.png; object_03c.png; object_05c.png; object_05a.png; object_05b.png; object_09c.png; object_08b.png,object_14c.png; object_15a.png; object_15b.png; object_02b.png; object_13b.png; object_14b.png; object_12a.png; object_01a.png; object_12c.png; object_11c.png; object_10a.png; object_09b.png; object_10b.png; object_09a.png; object_06c.png,object_03a.png; object_06b.png; object_01c.png; object_01b.png; object_12b.png; object_04c.png; object_14a.png; object_02c.png; object_03b.png; object_11b.png; object_06a.png; object_08a.png; object_10c.png; object_07a.png; object_08c.png,interleaved,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15,5/9/2025, 12:24:08 AM,2025-05-09 04:24:08.175,,,,,,,,,,,,,,
16993,,make_fullscreen,31184,,,,,,,,fullscreen,0,,,,,,,,,,,,
8191,,instruct_1,39383,,,,,,,,instruct,0,Next,,,,,,,,,,,
11064,,instruct_2,50450,,,,,,,,instruct,1,Next,,,,,,,,,,,
16382.000000000007,,instruct_3,66833,,,,,,,,instruct,1,Next,,,,,,,,,,,
26331,,instruct_4,93166,,,,,,,,instruct,1,Next,,,,,,,,,,,
17097,,instruct_5,110265,,,,,,,,instruct,1,Next,,,,,,,,,,,
4566,,instruct_6,114832,,,,,,,,instruct,1,Next,,,,,,,,,,,
45699.000000000015,,instruct_7,160532,,,,,,,,instruct,1,Next,,,,,,,,,,,
null,,prac_atten_color_black,161528,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color,161947,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,
783,,prac_atten_color_black,163950,,,,,,,,black_plus_sign,,,49,,,,,,,,,,
null,,prac_atten_color_black,164950,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
976,,prac_atten_color,165964,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,
null,,prac_atten_color_black,167967,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,168370,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
