rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
473399.7999999821,{worker_id:67c8d8517a18038170f399a6},id_enter,473406,object_06c.png; object_08a.png; object_10c.png; object_14b.png; object_09b.png; object_12c.png; object_10a.png; object_02c.png; object_05a.png; object_01a.png; object_09a.png; object_13a.png; object_05b.png; object_12b.png; object_03a.png,object_01c.png; object_15c.png; object_06a.png; object_04c.png; object_03c.png; object_06b.png; object_02a.png; object_09c.png; object_07b.png; object_05c.png; object_07a.png; object_11b.png; object_15a.png; object_04b.png; object_14c.png,object_08c.png; object_04a.png; object_12a.png; object_13b.png; object_13c.png; object_07c.png; object_11a.png; object_15b.png; object_11c.png; object_01b.png; object_10b.png; object_03b.png; object_14a.png; object_02b.png; object_08b.png,,,,,,,,,,,,,,,,,,,,,,,
51888,,make_fullscreen,525326,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,
9605,,instruct_1,534940,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,
26346.5,,instruct_2,561293,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
20022,,instruct_3,581321,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
17075.899999976158,,instruct_4,598402,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
14885,,instruct_5,613292,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
5085.199999988079,,instruct_6,618384,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
27595.70000001788,,instruct_7,645985,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,646816,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,647410,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,
356.09999999403954,,prac_atten_color_black,649420,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,650249,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
550.9000000059605,,prac_atten_color,651035,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,653038,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,653662,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,654226,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,
228.80000001192093,,prac_atten_color_black,656230,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,657074,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
413.69999998807907,,prac_atten_color,657837,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,659846,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,660507,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
556.1999999880791,,prac_atten_color,661127,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,663129,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,663918,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
489.7000000178814,,prac_atten_color,664909,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,666912,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,667336,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,667869,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,
125.80000001192093,,prac_atten_color_black,669879,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,670763,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,671207,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,
69.5,,prac_atten_color_black,673210,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,674183,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
407.5,,prac_atten_color,674921,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,676938,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,677621,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
584.6999999880791,,prac_atten_color,678662,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,680673,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
13040.799999982119,,attentioncheck_feedback,693719,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,
5527.199999988079,,last_instruct,699250,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),702755,,,,black_plus_sign,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),703217,,,,blue,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,703722,,,,blue,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
1208.800000011921,,prac_rt_thecrossant_black,705277,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,
null,,prac_color_black,705382,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),708895,,,,black_plus_sign,,,null,object_09b.png,object_03c.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,709910,,,,blue,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,710420,,,,blue,,,null,object_09b.png,object_03c.png,,,,,,,,,,,,,,,,,
849.8000000119209,,prac_rt_thecrossant_black,711649,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,
null,,prac_color_black,711754,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),715262,,,,black_plus_sign,,,null,object_07b.png,object_05a.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,716288,,,,blue,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,716796,,,,blue,,,null,object_07b.png,object_05a.png,,,,,,,,,,,,,,,,,
995.6000000238419,,prac_rt_thecrossant_black,718278,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,
null,,prac_color_black,718382,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),721888,,,,black_plus_sign,,,null,object_09c.png,object_02c.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,722904,,,,blue,,,null,object_05c.png,object_01b.png,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,723413,,,,blue,,,null,object_09c.png,object_02c.png,,,,,,,,,,,,,,,,,
674.0999999940395,,prac_rt_thecrossant_black,724854,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,
