rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick
11196.40000000596,{worker_id:67e5903af6cd5d0af4690798},id_enter,11198,object_10c.png; object_01a.png; object_12c.png; object_12b.png; object_05a.png; object_15c.png; object_14a.png; object_07a.png; object_10a.png; object_03b.png; object_04c.png; object_13c.png; object_15b.png; object_04b.png; object_06c.png,object_05c.png; object_13b.png; object_03a.png; object_07b.png; object_09a.png; object_02c.png; object_06a.png; object_15a.png; object_10b.png; object_03c.png; object_08c.png; object_02b.png; object_14c.png; object_09c.png; object_08a.png,object_02a.png; object_11c.png; object_08b.png; object_05b.png; object_06b.png; object_12a.png; object_09b.png; object_04a.png; object_01b.png; object_13a.png; object_11a.png; object_14b.png; object_11b.png; object_01c.png; object_07c.png,,,,,,,,,,,,,,,,,
3497.9000000059605,,make_fullscreen,14701,,,,fullscreen,0,,,,,,,,,,,,,,,
3317.7000000029802,,instruct_1,18021,,,,instruct,0,Next,,,,,,,,,,,,,,
1744.3999999910593,,instruct_2,19767,,,,instruct,1,Next,,,,,,,,,,,,,,
1798.5999999940395,,instruct_3,21567,,,,instruct,1,Next,,,,,,,,,,,,,,
4415.70000000298,,instruct_4,25985,,,,instruct,1,Next,,,,,,,,,,,,,,
1509.5,,instruct_5,27495,,,,instruct,1,Next,,,,,,,,,,,,,,
1353.9000000059605,,instruct_6,28851,,,,instruct,1,Next,,,,,,,,,,,,,,
4094.9000000059605,,instruct_7,32947,,,,instruct,1,Next,,,,,,,,,,,,,,
null,,prac_atten_color_black,33316,,,,black_plus_sign,,,null,,,,,,,,,,,,,
777.3999999910593,,prac_atten_color,34353,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,36355,,,,black_plus_sign,,,null,,,,,,,,,,,,,
2227,,attentioncheck_help,38584,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,38951,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,39710,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,41712,,,,black_plus_sign,,,null,,,,,,,,,,,,,
3218.7000000029802,,attentioncheck_help,44932,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,45577,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,46394,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,48396,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1815,,attentioncheck_help,50212,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,50799,,,,black_plus_sign,,,null,,,,,,,,,,,,,
337.19999998807907,,prac_atten_color,51359,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,53361,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1753.5999999940395,,attentioncheck_help,55116,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,55974,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,56979,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,58981,,,,black_plus_sign,,,null,,,,,,,,,,,,,
3469.5,,attentioncheck_help,62451,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,62859,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,63303,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,65304,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1610.7000000029802,,attentioncheck_help,66916,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,67875,,,,black_plus_sign,,,null,,,,,,,,,,,,,
576.8999999910593,,prac_atten_color,68911,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,70913,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1674.7999999970198,,attentioncheck_help,72589,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,72958,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,73981,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,75982,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1338.699999988079,,attentioncheck_help,77322,,,,instruct,,,32,,,,,,,,,,,,,
