rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
7035.099999904633,{worker_id:600319e3a3b1a337cab57a3e},id_enter,7040,object_09b.png; object_03b.png; object_11a.png; object_07c.png; object_05c.png; object_14a.png; object_08c.png; object_02c.png; object_10c.png; object_08a.png; object_13c.png; object_04a.png; object_01c.png; object_06a.png; object_11b.png,object_05b.png; object_15c.png; object_06c.png; object_05a.png; object_12c.png; object_10b.png; object_02a.png; object_09c.png; object_12a.png; object_02b.png; object_13a.png; object_01b.png; object_15a.png; object_04b.png; object_12b.png,object_09a.png; object_06b.png; object_01a.png; object_04c.png; object_03c.png; object_13b.png; object_07a.png; object_07b.png; object_14c.png; object_15b.png; object_10a.png; object_03a.png; object_11c.png; object_14b.png; object_08b.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36,4/28/2025, 12:41:02 PM,2025-04-28 16:41:02.436,,,,,,,,,,,,,,,,,,,,,,,,,,
22972.200000286102,,make_fullscreen,30044,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
6226.400000095367,,instruct_1,36274,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
16788.099999904633,,instruct_2,53067,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
11876.5,,instruct_3,64946,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
30092.400000095367,,instruct_4,95042,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
17940.599999904633,,instruct_5,112986,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
5517.599999904633,,instruct_6,118506,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
40620.2999997139,,instruct_7,159129,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,159476,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
672.7000002861023,,prac_atten_color,160540,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,162548,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,162900,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
768.6999998092651,,prac_atten_color,163964,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,165972,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,166316,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
441.5,,prac_atten_color,167284,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,169292,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,169732,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
593.7000002861023,,prac_atten_color,170564,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,172572,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,173156,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
529,,prac_atten_color,173868,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,175877,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,176573,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
504.69999980926514,,prac_atten_color,177117,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,179125,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,179997,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,180701,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
9.200000286102295,,prac_atten_color_black,182709,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,183413,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
496.30000019073486,,prac_atten_color,184157,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,186165,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,186829,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
616,,prac_atten_color,187925,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,189932,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,190244,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
673.6999998092651,,prac_atten_color,190932,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,192940,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
9258.800000190735,,attentioncheck_feedback,202202,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,
37067.5,,last_instruct,239272,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),242782,,,,,,,,black_plus_sign,,,null,object_14a.png,object_10b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),243406,,,,,,,,blue,,,null,object_14a.png,object_10b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,243910,,,,,,,,blue,,,null,object_14a.png,object_10b.png,,,,,,,,,,,,,,,,,,,,
788.0999999046326,,prac_rt_thecrossant_black,245302,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,245406,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),248910,,,,,,,,black_plus_sign,,,null,object_01c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,249350,,,,,,,,blue,,,null,object_14a.png,object_10b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,249854,,,,,,,,green,,,null,object_01c.png,object_15a.png,,,,,,,,,,,,,,,,,,,,
1098.5999999046326,,prac_rt_thecrossant_black,250926,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,251030,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),254534,,,,,,,,black_plus_sign,,,null,object_02c.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,254974,,,,,,,,blue,,,null,object_14a.png,object_10b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,255479,,,,,,,,blue,,,null,object_02c.png,object_09c.png,,,,,,,,,,,,,,,,,,,,
1238.4000000953674,,prac_rt_thecrossant_black,256558,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,256663,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
