rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
234549.40000000596,{worker_id:67d8591e059fa98302073a33},id_enter,234556,object_08a.png; object_03a.png; object_01c.png; object_03c.png; object_04b.png; object_02c.png; object_04c.png; object_10a.png; object_11b.png; object_12a.png; object_02a.png; object_02b.png; object_15c.png; object_05a.png; object_15b.png,object_10b.png; object_06b.png; object_13a.png; object_04a.png; object_07c.png; object_06a.png; object_13c.png; object_07a.png; object_10c.png; object_11c.png; object_11a.png; object_15a.png; object_12c.png; object_14b.png; object_03b.png,object_01a.png; object_01b.png; object_07b.png; object_06c.png; object_14c.png; object_12b.png; object_09b.png; object_09a.png; object_13b.png; object_14a.png; object_08c.png; object_05c.png; object_09c.png; object_08b.png; object_05b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,4/28/2025, 12:11:51 PM,2025-04-28 17:11:51.530,,,,,,,,,,,,,,,,,,,,,,,,,,
56061.29999998212,,make_fullscreen,290658,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,
18636,,instruct_1,309298,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
14027.299999982119,,instruct_2,323327,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
10189.90000000596,,instruct_3,333519,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
41950.39999997616,,instruct_4,375473,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
63657.79999998212,,instruct_5,439135,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
12572.699999988079,,instruct_6,451711,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
29423.90000000596,,instruct_7,481138,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,481725,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
740.5,,prac_atten_color,482558,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,484571,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,485160,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
529.9000000059605,,prac_atten_color,485886,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,487903,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,488599,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
543.2999999821186,,prac_atten_color,489221,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,491237,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,492041,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,492513,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
186.5,,prac_atten_color_black,494523,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,495481,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
564.7999999821186,,prac_atten_color,496291,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,498296,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,498908,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
577.5,,prac_atten_color,499533,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,501540,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,502343,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,502905,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,
111.19999998807907,,prac_atten_color_black,504909,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,505762,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
567.3000000119209,,prac_atten_color,506375,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,508389,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,509195,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
545.6999999880791,,prac_atten_color,509872,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,511885,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,512631,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
686.2000000178814,,prac_atten_color,513468,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,515486,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
5970.0999999940395,,attentioncheck_feedback,521460,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,,
40138.79999998212,,last_instruct,561601,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),565109,,,,,,,,black_plus_sign,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),565929,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,566442,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
1605.5,,prac_rt_thecrossant_black,567642,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,567755,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),571272,,,,,,,,black_plus_sign,,,null,object_07c.png,object_14c.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,572042,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,572548,,,,,,,,green,,,null,object_07c.png,object_14c.png,,,,,,,,,,,,,,,,,,,,
1090.7999999821186,,prac_rt_thecrossant_black,573907,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,574018,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),577532,,,,,,,,black_plus_sign,,,null,object_15b.png,object_03b.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,578305,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
433.40000000596046,,prac_rt_plussign_withcolor,578814,,,,,,,,blue,,,49,object_15b.png,object_03b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,580237,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,580347,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),583862,,,,,,,,black_plus_sign,,,null,object_05a.png,object_14b.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,584637,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,585142,,,,,,,,green,,,null,object_05a.png,object_14b.png,,,,,,,,,,,,,,,,,,,,
1136,,prac_rt_thecrossant_black,586478,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,,
null,,prac_color_black,586590,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
66671.5,,instruct_dir_01,653265,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,
46969.29999998212,,instruct_dir_2,700236,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
5968.200000017881,,instruct_dir_3,706206,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,
5463.399999976158,,instruct_dir_4,711672,,,,,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,711783,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,,
2457.9000000059605,,intro_0,714243,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,
2799.800000011921,,prac_directmemory_phase,717046,,,,,,,,practice/object_02b.png,,,50,,,1,,practice/object_03a.png,practice/object_02a.png,practice/object_04a.png,practice/object_02a.png,1,1,,,,,,,,,,,,
3248.5,,prac_directmemory_phase,720300,,,,,,,,practice/object_03b.png,,,50,,,1,,practice/object_02a.png,practice/object_03a.png,practice/object_04a.png,practice/object_03a.png,1,1,,,,,,,,,,,,
2863.5,,prac_directmemory_phase,723168,,,,,,,,practice/object_04b.png,,,51,,,1,,practice/object_02a.png,practice/object_03a.png,practice/object_04a.png,practice/object_04a.png,1,1,,,,,,,,,,,,
2058.5999999940395,,prac_directmemory_phase,725230,,,,,,,,practice/object_01b.png,,,49,,,1,,practice/object_01a.png,practice/object_04a.png,practice/object_03a.png,practice/object_01a.png,1,1,,,,,,,,,,,,
5951.9000000059605,,practice_feedback,731185,,,,,,,,practice_feedback,1,,,,,,,,,,,,,,,,,,,,,,,,
5923.9000000059605,,proceed_actualTask,737111,,,,,,,,proceed_actualTask,1,Continue,,,,,,,,,,,,,,,,,,,,,,,
177455,,last_inst,914569,,,,,,,,last_inst,,,32,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,918079,,,,,,,,black_plus_sign,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,918866,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,919380,,,,,,,,green,,,null,object_10c.png,object_13b.png,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black1,920620,,,,,,,,black_plus_sign,,,null,,,,,,,,,,NaN,,,,,,,,,,,,
null,,color_black1,920736,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,924256,,,,,,,,black_plus_sign,,,null,object_07c.png,object_14c.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,924916,,,,,,,,blue,,,null,object_07c.png,object_14c.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,925423,,,,,,,,blue,,,null,object_07c.png,object_14c.png,,,,,,,,,,,,,,,,,,,,
1067.199999988079,,rt_thecrossant_black1,926776,,,,,,,,black_plus_sign,,,50,,,0,,,,,,,0,,,,,,,,,,,,
null,,warning_page,931795,,,,,,,,warning,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,color_black1,931910,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,935418,,,,,,,,black_plus_sign,,,null,object_15b.png,object_03b.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,936248,,,,,,,,green,,,null,object_15b.png,object_03b.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,936761,,,,,,,,green,,,null,object_15b.png,object_03b.png,,,,,,,,,,,,,,,,,,,,
1259.199999988079,,rt_thecrossant_black1,937951,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.5,,,,,,,,,,,,
null,,color_black1,938059,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,941575,,,,,,,,black_plus_sign,,,null,object_05a.png,object_14b.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,942282,,,,,,,,green,,,null,object_05a.png,object_14b.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,942785,,,,,,,,green,,,null,object_05a.png,object_14b.png,,,,,,,,,,,,,,,,,,,,
1007.0999999940395,,rt_thecrossant_black1,944104,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.6666666666666666,,,,,,,,,,,,
null,,color_black1,944217,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,947734,,,,,,,,black_plus_sign,,,null,object_11c.png,object_14a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,948835,,,,,,,,green,,,null,object_11c.png,object_14a.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,949339,,,,,,,,green,,,null,object_11c.png,object_14a.png,,,,,,,,,,,,,,,,,,,,
897.2000000178814,,rt_thecrossant_black1,950257,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,0.75,,,,,,,,,,,,
null,,color_black1,950362,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,953874,,,,,,,,black_plus_sign,,,null,object_03c.png,object_04a.png,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,954598,,,,,,,,green,,,null,object_03c.png,object_04a.png,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,955102,,,,,,,,green,,,null,object_03c.png,object_04a.png,,,,,,,,,,,,,,,,,,,,
