rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
20192,{worker_id:67dad40a0d401668ca95ea4b},id_enter,20196,object_04b.png; object_05c.png; object_02c.png; object_14c.png; object_05a.png; object_07c.png; object_11b.png; object_06b.png; object_03b.png; object_09a.png; object_10b.png; object_14b.png; object_15a.png; object_10c.png; object_12b.png,object_02a.png; object_15b.png; object_10a.png; object_09b.png; object_06a.png; object_13b.png; object_08a.png; object_04c.png; object_08c.png; object_02b.png; object_15c.png; object_01a.png; object_05b.png; object_13c.png; object_11a.png,object_12a.png; object_04a.png; object_03c.png; object_09c.png; object_13a.png; object_03a.png; object_01c.png; object_07b.png; object_01b.png; object_14a.png; object_06c.png; object_08b.png; object_11c.png; object_12c.png; object_07a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/8/2025, 1:57:07 PM,2025-05-08 18:57:07.758,,,,,,,,,,,,,,,,,,,,,,,,,,,
14305,,make_fullscreen,34517,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
57929,,instruct_1,92490,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
12921,,instruct_2,105413,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
9372,,instruct_3,114787,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
34484,,instruct_4,149271,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
12800,,instruct_5,162072,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
7549,,instruct_6,169621,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
44333,,instruct_7,213955,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,214284,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,215364,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
775,,prac_atten_color_black,217366,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
12067,,attentioncheck_help,229434,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,229762,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,230290,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
697,,prac_atten_color_black,232294,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,233173,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,233682,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
335,,prac_atten_color_black,235685,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,236581,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,237351,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
56,,prac_atten_color_black,239355,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,239991,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,240557,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
291,,prac_atten_color_black,242561,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,243403,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,244115,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
118,,prac_atten_color_black,246117,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246811,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
686,,prac_atten_color,247805,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249810,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,250223,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
