rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus,breakfocus,completion_code
9719.70000000298,{worker_id:65a2cd1b1d1724a7eba41cd3},id_enter,9721,object_10c.png; object_02b.png; object_11a.png; object_04a.png; object_05b.png; object_03a.png; object_10b.png; object_08c.png; object_02a.png; object_06c.png; object_13a.png; object_12c.png; object_07a.png; object_05c.png; object_07b.png,object_09b.png; object_01b.png; object_01c.png; object_06a.png; object_14a.png; object_14c.png; object_11b.png; object_02c.png; object_09c.png; object_14b.png; object_03c.png; object_04b.png; object_12a.png; object_09a.png; object_15a.png,object_08b.png; object_07c.png; object_15c.png; object_13b.png; object_11c.png; object_15b.png; object_03b.png; object_06b.png; object_04c.png; object_05a.png; object_10a.png; object_08a.png; object_12b.png; object_01a.png; object_13c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 6:01:24 PM,2025-05-11 22:01:24.725,,,,,,,,,,,,,,,,,,,,,,,,,,,
21889.60000000149,,make_fullscreen,31618,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,,,,
17234.79999999702,,instruct_1,48854,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,,,
19087.29999999702,,instruct_2,67943,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
33967.5,,instruct_3,101911,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
38091.89999999851,,instruct_4,140005,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
27749.39999999851,,instruct_5,167755,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
6553.39999999851,,instruct_6,174310,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
71918.29999999702,,instruct_7,246229,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,246645,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
887.1000000014901,,prac_atten_color,247634,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,249635,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,250049,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
682.1000000014901,,prac_atten_color,251106,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253108,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253455,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,253986,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
226.70000000298023,,prac_atten_color_black,255989,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,256861,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
649.1000000014901,,prac_atten_color,257806,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,259807,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260265,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,260910,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
199,,prac_atten_color_black,262912,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,263671,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,264230,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
165.60000000149012,,prac_atten_color_black,266231,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267081,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
635.6000000014901,,prac_atten_color,267730,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,269731,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
8330.89999999851,,attentioncheck_help,278064,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,278834,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,279393,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,,,,
1140.2999999970198,,prac_atten_color_black,281395,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,282241,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,,,
671.2999999970198,,prac_atten_color,283165,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,,,
