rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
12021.40000000596,{worker_id:628f7e982aad1788d940317a},id_enter,12026,object_08a.png; object_15c.png; object_04b.png; object_13a.png; object_06b.png; object_12a.png; object_10c.png; object_14c.png; object_02b.png; object_13c.png; object_09b.png; object_15b.png; object_06c.png; object_15a.png; object_01a.png,object_01c.png; object_05c.png; object_14a.png; object_06a.png; object_04a.png; object_12c.png; object_13b.png; object_07c.png; object_10b.png; object_03c.png; object_05a.png; object_10a.png; object_02c.png; object_12b.png; object_14b.png,object_01b.png; object_07b.png; object_11b.png; object_02a.png; object_09a.png; object_07a.png; object_04c.png; object_11c.png; object_09c.png; object_11a.png; object_08b.png; object_03a.png; object_05b.png; object_03b.png; object_08c.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/8/2025, 2:10:53 PM,2025-05-08 19:10:53.877,,,,,,,,,,,,,,,,,,,,,,,,
33108.40000000596,,make_fullscreen,45143,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,
5992.5999999940395,,instruct_1,51174,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,
23724.69999998808,,instruct_2,74902,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
8615.300000011921,,instruct_3,83518,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
24638.59999999404,,instruct_4,108158,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
17510.30000001192,,instruct_5,125670,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
26494.90000000596,,instruct_6,152166,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
44766.59999999404,,instruct_7,196934,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,197297,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,198337,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,200338,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
7801,,attentioncheck_help,208141,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,208504,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,208930,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,,,,,,,,
353,,prac_atten_color_black,210932,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,,,,,,,,,,
