rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
10746.5,{worker_id:63782709326973c77adc3db8},id_enter,10750,object_06b.png; object_02c.png; object_08c.png; object_11a.png; object_13b.png; object_14c.png; object_10c.png; object_02a.png; object_13a.png; object_03c.png; object_15b.png; object_01c.png; object_05b.png; object_09b.png; object_06c.png,object_01a.png; object_01b.png; object_11c.png; object_15a.png; object_09c.png; object_10a.png; object_04b.png; object_07a.png; object_07b.png; object_12c.png; object_15c.png; object_05a.png; object_05c.png; object_13c.png; object_14a.png,object_03a.png; object_12a.png; object_09a.png; object_03b.png; object_12b.png; object_02b.png; object_08b.png; object_07c.png; object_11b.png; object_04a.png; object_14b.png; object_04c.png; object_10b.png; object_08a.png; object_06a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/8/2025, 1:53:08 PM,2025-05-08 18:53:08.471,,,,,,,,,,,,,,,
12895.89999999851,,make_fullscreen,23653,,,,,,,,fullscreen,0,,,,,,,,,,,,,
4318.599999997765,,instruct_1,27973,,,,,,,,instruct,0,Next,,,,,,,,,,,,
14567.199999999255,,instruct_2,42543,,,,,,,,instruct,1,Next,,,,,,,,,,,,
8375.900000002235,,instruct_3,50920,,,,,,,,instruct,1,Next,,,,,,,,,,,,
28831.400000002235,,instruct_4,79754,,,,,,,,instruct,1,Next,,,,,,,,,,,,
9876.699999999255,,instruct_5,89632,,,,,,,,instruct,1,Next,,,,,,,,,,,,
4073.300000000745,,instruct_6,93707,,,,,,,,instruct,1,Next,,,,,,,,,,,,
49815.699999999255,,instruct_7,143525,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,143991,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,144936,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
844,,prac_atten_color_black,146943,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,147409,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
786.1999999992549,,prac_atten_color,148275,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,150277,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,150821,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
429.9000000022352,,prac_atten_color,151410,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,153415,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
6537.10000000149,,attentioncheck_help,159955,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,160773,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
980.7000000029802,,prac_atten_color,161866,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,163870,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,164190,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
