rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
9355.79999999702,{worker_id:667b59425036fd43892ca528},id_enter,9358,object_02b.png; object_10a.png; object_15c.png; object_02c.png; object_01c.png; object_07c.png; object_10c.png; object_01b.png; object_14b.png; object_12b.png; object_11b.png; object_08a.png; object_15a.png; object_14c.png; object_07a.png,object_02a.png; object_13b.png; object_09c.png; object_14a.png; object_08c.png; object_07b.png; object_03a.png; object_04b.png; object_08b.png; object_04c.png; object_15b.png; object_03c.png; object_06a.png; object_06b.png; object_10b.png,object_06c.png; object_11a.png; object_04a.png; object_09b.png; object_13a.png; object_05b.png; object_12a.png; object_05a.png; object_09a.png; object_05c.png; object_03b.png; object_01a.png; object_12c.png; object_13c.png; object_11c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 4:32:33 PM,2025-05-11 23:32:33.876,,,,,,,,,,,,,,,
18763.20000000298,,make_fullscreen,28141,,,,,,,,fullscreen,0,,,,,,,,,,,,,
2974,,instruct_1,31116,,,,,,,,instruct,0,Next,,,,,,,,,,,,
15230.29999999702,,instruct_2,46348,,,,,,,,instruct,0,Previous,,,,,,,,,,,,
4151.10000000149,,instruct_1,50500,,,,,,,,instruct,0,Next,,,,,,,,,,,,
1614.8999999985099,,instruct_2,52116,,,,,,,,instruct,1,Next,,,,,,,,,,,,
10382.89999999851,,instruct_3,62500,,,,,,,,instruct,1,Next,,,,,,,,,,,,
53118.39999999851,,instruct_4,115620,,,,,,,,instruct,1,Next,,,,,,,,,,,,
14214.59999999404,,instruct_5,129836,,,,,,,,instruct,1,Next,,,,,,,,,,,,
6710.89999999851,,instruct_6,136548,,,,,,,,instruct,1,Next,,,,,,,,,,,,
