rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
16048.59999999404,{worker_id:67105e698f7df6c2eb1b9137},id_enter,16051,object_01a.png; object_06b.png; object_07c.png; object_15c.png; object_01b.png; object_03b.png; object_09b.png; object_04a.png; object_04b.png; object_13a.png; object_13b.png; object_02a.png; object_02c.png; object_09a.png; object_08a.png,object_06a.png; object_10a.png; object_12a.png; object_10b.png; object_08b.png; object_04c.png; object_06c.png; object_09c.png; object_02b.png; object_07a.png; object_07b.png; object_14b.png; object_14a.png; object_15a.png; object_05c.png,object_14c.png; object_05a.png; object_15b.png; object_11b.png; object_13c.png; object_12b.png; object_12c.png; object_01c.png; object_10c.png; object_03c.png; object_11c.png; object_05b.png; object_03a.png; object_08c.png; object_11a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/8/2025, 2:56:43 PM,2025-05-08 18:56:43.086,,,,,,,,,,,,,,,
5137.899999991059,,make_fullscreen,21207,,,,,,,,fullscreen,0,,,,,,,,,,,,,
22135.59999999404,,instruct_1,43344,,,,,,,,instruct,0,Next,,,,,,,,,,,,
5900.29999999702,,instruct_2,49246,,,,,,,,instruct,1,Next,,,,,,,,,,,,
5643.800000011921,,instruct_3,54891,,,,,,,,instruct,1,Next,,,,,,,,,,,,
10024.60000000894,,instruct_4,64917,,,,,,,,instruct,1,Next,,,,,,,,,,,,
6910.5,,instruct_5,71828,,,,,,,,instruct,1,Next,,,,,,,,,,,,
2489.7000000029802,,instruct_6,74319,,,,,,,,instruct,1,Next,,,,,,,,,,,,
15524.5,,instruct_7,89845,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,90551,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,91250,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
148.5,,prac_atten_color_black,93252,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
2989.7999999970198,,attentioncheck_help,96243,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,96948,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
501.20000000298023,,prac_atten_color,97955,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,99957,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,100357,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
500.90000000596046,,prac_atten_color,101087,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,103090,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,103764,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
608.0999999940395,,prac_atten_color,104723,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,106726,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,107172,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
550.0999999940395,,prac_atten_color,108194,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,110195,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,110578,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,110986,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
220.09999999403954,,prac_atten_color_black,112988,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
5265.29999999702,,attentioncheck_help,118255,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,119251,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
554.9000000059605,,prac_atten_color,119943,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,121945,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,122659,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
464.8999999910593,,prac_atten_color,123349,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,125350,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,126065,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
501,,prac_atten_color,126699,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,128701,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,129471,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
641.1000000089407,,prac_atten_color,130167,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,132169,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
4786.9000000059605,,attentioncheck_feedback,136958,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,
25513.5,,last_instruct,162473,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),165975,,,,,,,,black_plus_sign,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_black_cross(without_color),166551,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
