rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,completion_code
15757.199999809265,{worker_id:671ac158ba4eccd5bf11350a},id_enter,15759,object_05c.png; object_15c.png; object_01b.png; object_01a.png; object_04b.png; object_03a.png; object_10c.png; object_14c.png; object_04a.png; object_09a.png; object_02a.png; object_04c.png; object_01c.png; object_11b.png; object_06b.png,object_06a.png; object_09c.png; object_07c.png; object_06c.png; object_05b.png; object_08c.png; object_10a.png; object_10b.png; object_15b.png; object_14a.png; object_05a.png; object_03c.png; object_12a.png; object_11a.png; object_02c.png,object_13c.png; object_09b.png; object_08a.png; object_14b.png; object_12b.png; object_13b.png; object_13a.png; object_03b.png; object_11c.png; object_12c.png; object_07a.png; object_07b.png; object_02b.png; object_08b.png; object_15a.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/11/2025, 6:06:52 PM,2025-05-11 22:06:52.166,,,,,,,,,,,,,,,,
33106.799999952316,,make_fullscreen,48879,,,,,,,,fullscreen,0,,,,,,,,,,,,,,
61906.89999985695,,instruct_1,110793,,,,,,,,instruct,0,Next,,,,,,,,,,,,,
37773.799999952316,,instruct_2,148568,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
14760.900000095367,,instruct_3,163330,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
131438.70000004768,,instruct_4,294767,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
26714.39999985695,,instruct_5,321482,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
6274,,instruct_6,327757,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
61519.799999952316,,instruct_7,389277,,,,,,,,instruct,1,Next,,,,,,,,,,,,,
null,,prac_atten_color_black,390221,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,390698,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,392705,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
22037.299999952316,,attentioncheck_help,414743,,,,,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_atten_color_black,415687,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_atten_color,416612,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,
null,,prac_atten_color_black,418629,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,
