rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
27662.599999904633,{worker_id:67351d691e6e9753f1834168},id_enter,27664,object_11c.png; object_13a.png; object_04a.png; object_15c.png; object_02a.png; object_13c.png; object_12b.png; object_08c.png; object_06b.png; object_07a.png; object_15a.png; object_04b.png; object_07c.png; object_15b.png; object_13b.png,object_09b.png; object_10b.png; object_05a.png; object_01a.png; object_09c.png; object_01c.png; object_12c.png; object_12a.png; object_05c.png; object_10c.png; object_03c.png; object_11a.png; object_10a.png; object_05b.png; object_07b.png,object_02c.png; object_11b.png; object_03a.png; object_03b.png; object_14a.png; object_06a.png; object_14b.png; object_01b.png; object_04c.png; object_06c.png; object_14c.png; object_08a.png; object_08b.png; object_09a.png; object_02b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36,5/8/2025, 1:54:16 PM,2025-05-08 18:54:16.689,,,,,,,,,,,,,,,,,,,,,,,,
185599.39999997616,,make_fullscreen,213278,,,,,,,,fullscreen,0,,,,,,,,,,,,,,,,,,,,,,
4961.800000071526,,instruct_1,218242,,,,,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,
19970.299999952316,,instruct_2,238213,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
8380.399999976158,,instruct_3,246595,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
41589.39999997616,,instruct_4,288185,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
12689.399999976158,,instruct_5,300875,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
10399.799999952316,,instruct_6,311276,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
29499.200000047684,,instruct_7,340776,,,,,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,341378,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
716.4000000953674,,prac_atten_color,342180,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,344182,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,
