rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice
10492.59999999404,{worker_id:67cf70ec9741a100ffc7f570},id_enter,10497,object_11b.png; object_14a.png; object_10a.png; object_06a.png; object_08b.png; object_08a.png; object_06b.png; object_05a.png; object_03c.png; object_08c.png; object_06c.png; object_03a.png; object_01c.png; object_14c.png; object_09a.png,object_01a.png; object_04c.png; object_12b.png; object_04b.png; object_03b.png; object_14b.png; object_05b.png; object_13a.png; object_02a.png; object_10b.png; object_12a.png; object_09b.png; object_09c.png; object_10c.png; object_07b.png,object_01b.png; object_11c.png; object_07c.png; object_04a.png; object_02c.png; object_11a.png; object_13b.png; object_15c.png; object_15b.png; object_02b.png; object_13c.png; object_07a.png; object_15a.png; object_05c.png; object_12c.png,blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,5/11/2025, 6:36:14 PM,2025-05-11 23:36:14.103,,,,,
2397.2000000029802,,make_fullscreen,12910,,,,,,,,fullscreen,0,,,
1532.7000000029802,,instruct_1,14448,,,,,,,,instruct,0,Next,,
1574.7999999970198,,instruct_2,16026,,,,,,,,instruct,1,Next,,
1600.8999999910593,,instruct_3,17630,,,,,,,,instruct,1,Next,,
2476.0999999940395,,instruct_4,20109,,,,,,,,instruct,1,Next,,
1637.300000011921,,instruct_5,21750,,,,,,,,instruct,1,Next,,
1149.6000000089407,,instruct_6,22903,,,,,,,,instruct,1,Next,,
2332.9000000059605,,instruct_7,25239,,,,,,,,instruct,1,Next,,
null,,prac_atten_color_black,25974,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,26668,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,28683,,,,,,,,black_plus_sign,,,null,
2354.7999999970198,,attentioncheck_help,31041,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,31768,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,32598,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,34615,,,,,,,,black_plus_sign,,,null,
1287.2000000029802,,attentioncheck_help,35905,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,36506,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,37542,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,39548,,,,,,,,black_plus_sign,,,null,
993.3999999910593,,attentioncheck_help,40544,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,40921,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,41531,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,43540,,,,,,,,black_plus_sign,,,null,
777.7000000029802,,attentioncheck_help,44321,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,45122,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,45980,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,47998,,,,,,,,black_plus_sign,,,null,
