rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
74209,{worker_id:67d882a6d9768c97fcf411b5},id_enter,74211,object_05c.png; object_12b.png; object_09a.png; object_14b.png; object_05b.png; object_06a.png; object_10c.png; object_08c.png; object_09c.png; object_04c.png; object_15c.png; object_03c.png; object_02a.png; object_14a.png; object_03a.png,object_15b.png; object_01c.png; object_12c.png; object_06c.png; object_13c.png; object_11a.png; object_14c.png; object_13a.png; object_15a.png; object_11c.png; object_08b.png; object_12a.png; object_07c.png; object_04a.png; object_05a.png,object_10b.png; object_11b.png; object_01a.png; object_07a.png; object_01b.png; object_03b.png; object_13b.png; object_08a.png; object_09b.png; object_10a.png; object_04b.png; object_06b.png; object_02c.png; object_02b.png; object_07b.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36,5/8/2025, 2:26:03 PM,2025-05-08 19:26:03.309,,,,,,,,,,,,,,,
8324,,make_fullscreen,82568,,,,,,,,fullscreen,0,,,,,,,,,,,,,
6341,,instruct_1,88933,,,,,,,,instruct,0,Next,,,,,,,,,,,,
21151,,instruct_2,110097,,,,,,,,instruct,1,Next,,,,,,,,,,,,
15013,,instruct_3,125111,,,,,,,,instruct,1,Next,,,,,,,,,,,,
40793,,instruct_4,165917,,,,,,,,instruct,1,Next,,,,,,,,,,,,
36186,,instruct_5,202107,,,,,,,,instruct,1,Next,,,,,,,,,,,,
7661,,instruct_6,209782,,,,,,,,instruct,1,Next,,,,,,,,,,,,
65438,,instruct_7,275229,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,275968,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,276643,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,278658,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
16873,,attentioncheck_help,295536,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,296293,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,297386,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
332,,prac_atten_color_black,299387,,,,,,,,black_plus_sign,,,50,,,,,,,,,,,
