rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy
20172.5,{worker_id:CAEFA0231B1149C58F819C7F67479694},id_enter,20175,object_11b.png; object_09c.png; object_08c.png; object_05c.png; object_12c.png; object_08b.png; object_08a.png; object_15a.png; object_14c.png; object_14b.png; object_06c.png; object_04a.png; object_06b.png; object_05b.png; object_06a.png,object_03a.png; object_02c.png; object_01b.png; object_04b.png; object_13b.png; object_07b.png; object_09a.png; object_03c.png; object_13c.png; object_14a.png; object_15c.png; object_10c.png; object_10b.png; object_05a.png; object_07a.png,object_11a.png; object_02a.png; object_01c.png; object_01a.png; object_09b.png; object_11c.png; object_12b.png; object_07c.png; object_15b.png; object_10a.png; object_02b.png; object_04c.png; object_12a.png; object_03b.png; object_13a.png,interleaved,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0,5/8/2025, 2:55:48 PM,2025-05-08 18:55:48.433,,,,,,,,,,,,,,,
2663.800000000745,,make_fullscreen,22853,,,,,,,,fullscreen,0,,,,,,,,,,,,,
4254.800000000745,,instruct_1,27111,,,,,,,,instruct,0,Next,,,,,,,,,,,,
1569,,instruct_2,28683,,,,,,,,instruct,1,Next,,,,,,,,,,,,
3409.4000000003725,,instruct_3,32096,,,,,,,,instruct,1,Next,,,,,,,,,,,,
7960.200000001118,,instruct_4,40059,,,,,,,,instruct,1,Next,,,,,,,,,,,,
3941.2000000011176,,instruct_5,44003,,,,,,,,instruct,1,Next,,,,,,,,,,,,
1277.2999999988824,,instruct_6,45284,,,,,,,,instruct,1,Next,,,,,,,,,,,,
11558.599999999627,,instruct_7,56845,,,,,,,,instruct,1,Next,,,,,,,,,,,,
null,,prac_atten_color_black,57531,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,58259,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,60262,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
3826.7999999988824,,attentioncheck_help,64094,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,64774,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,65469,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,
null,,prac_atten_color_black,67471,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
4163.5,,attentioncheck_help,71636,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_atten_color_black,72366,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
432.19999999925494,,prac_atten_color,73241,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,75242,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,75773,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
426.09999999962747,,prac_atten_color,76398,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,78400,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,79181,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
374.7000000011176,,prac_atten_color,80242,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,82244,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,82587,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
469.7999999988824,,prac_atten_color,83094,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,
null,,prac_atten_color_black,85096,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,85993,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
334.09999999962747,,prac_atten_color,86429,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,
null,,prac_atten_color_black,88432,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color_black,89401,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
632.5999999996275,,prac_atten_color,90212,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,
